Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
7,3.37,5.5,4.85,12.41,11.65,10.94,18.5,12.69,172.67,63.14,50.59,173.45,63.43,50.81,2,3251.2052,1
7,3.95,6.19,5.86,-0.35,-1.04,-1.82,18.4,9.26,207.67,67.29,56.83,208.62,67.6,57.09,2,4010.2583,1
7,4.55,6.91,6.83,-3.24,-5.06,-4.67,18.7,5.02,246.9,68.16,55.96,262.26,72.4,59.43,2,4592.5142,1
7,4.22,6.99,6.28,8.55,6.64,7.2,19,5.02,257.32,71.76,56.29,258.59,72.11,56.57,2,4249.9976,1
7,3.2,5.01,4.32,16.36,15.26,14.99,19.3,5.93,246.29,70.87,55.77,247.5,71.22,56.04,2,4264.3474,1
7,3.1,4.35,4.06,1.9,0.71,0.41,19.3,1,325.7,76.22,61.69,327.33,76.6,62,2,5029.8038,1
7,3.18,4.12,4.06,-1.26,-3.44,-2.58,19.6,-3.06,412.93,77.2,62.55,434.86,81.3,65.87,2,5174.4613,1
7,3,4.24,3.82,8.4,6.51,7.11,20.2,-3.56,455.53,81.98,63.75,455.67,82,63.77,2,5305.3718,1
7,3.46,5.49,4.7,10.68,9.73,9.39,21.3,-0.69,378.7,79.09,62.38,378.83,79.12,62.4,2,4934.3531,1
7,2.6,11.41,7.83,15.6,15.02,13.09,16.7,32.69,68.1,39.97,33.51,70.4,41.31,34.64,2,1522.9805,1
7,2.51,7.96,6.04,0.41,-0.94,-2.15,16.3,28.83,76.35,42.59,34.81,79.27,44.22,36.15,2,2253.4313,1
7,2.8,6.37,5.91,-5.72,-8.86,-9.3,11.6,25.07,85.25,45.15,36.37,88.8,47.03,37.89,2,2531.2441,1
7,2.43,5.33,4.61,12.13,9.57,9.01,11.5,24.14,86.64,46.19,36.16,87.58,46.69,36.55,2,2875.7909,1
7,1.99,5.2,3.67,22.19,20.91,19.15,11.6,31.88,69.74,40.85,33.76,70.74,41.43,34.24,2,3181.6201,1
7,2.27,7.23,3.99,0.86,-0.67,-1.93,12.7,28.95,105.45,51.21,45.77,105.92,51.44,45.98,2,3293.7082,1
7,3.48,6.33,5.71,-2.41,-4.37,-4.29,18.7,15.82,162.09,61.68,52.66,162.82,61.95,52.9,2,3492.9767,1
7,3.23,5.96,5.11,7.94,6.03,6.28,18.7,14.53,161.69,61.62,50.34,162.42,61.89,50.57,2,3366.4695,1
7,3.07,5.43,4.65,14.7,13.81,13.06,18.8,14.73,162.07,61.67,50.8,162.8,61.95,51.03,2,3210.9619,1
11,1.05,1.46,1.23,19.95,15.92,17.07,108.1,45.79,78.37,43.32,35.89,80.92,44.73,37.06,1,70105.441,1
11,1.03,1.54,1.2,20.99,15.97,18.26,114.8,43.76,83.28,45.29,36.44,83.86,45.61,36.69,1,78719.815,1
11,1.04,1.54,1.22,18.73,11.38,15.87,117,45.77,78.56,43.98,35.96,78.62,44.01,35.98,1,80874.336,1
11,1.13,1.58,1.32,18.03,13.11,15.2,120.1,45.05,72.81,39.72,32.81,83.31,45.45,37.53,1,78950.984,1
11,1.1,1.54,1.28,20.85,15.11,17.97,121.8,45.54,73.98,40.62,33.69,82.14,45.1,37.41,1,86992.944,1
11,1.05,1.52,1.23,22.2,15.36,19.31,124,41.32,82.38,42.48,34.04,93.94,48.44,38.82,1,89857.424,1
11,1.02,1.47,1.19,19.6,11.92,16.71,126.9,43.62,84.32,45.12,36.78,86.87,46.49,37.89,1,102477.062,1
11,1.04,1.47,1.21,18.07,12.83,15.24,128.9,43.98,82.23,43.93,36.17,87.17,46.57,38.34,1,99689.22,1
11,1.1,1.57,1.28,19.39,13.22,16.58,130,42.11,90.63,46.07,38.16,96.71,49.16,40.72,1,89273.652,1
11,1.11,1.56,1.3,20.76,13.78,17.85,128.1,41.05,91.85,46.97,37.7,95.53,48.86,39.21,1,92117,1
11,1.12,1.58,1.31,19.94,11.51,16.96,129.6,43.22,89.14,47.13,38.52,89.14,47.13,38.52,1,88448.167,1
11,1.08,1.49,1.27,18.27,12.63,15.22,128.1,44.63,84.04,45.66,37.5,84.04,45.66,37.5,1,99939.225,1
