Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
29,0.96,1.41,1.05,3.71,3.08,3.32,1120,30.22,52.66,31.96,18.38,64.77,39.31,22.61,1,125837.1288,4
29,1.16,1.52,1.27,16.51,15.25,15.06,281,31.69,49.02,29.22,17.82,67.77,40.39,24.63,1,135299.8457,4
29,1.05,1.66,1.15,15.48,13.8,14.2,320,30.86,50.05,28.92,17.59,73.1,42.23,25.69,1,134163.7009,4
29,0.99,1.45,1.08,16.36,14.41,15.03,306,32.53,49.15,30.07,18.05,63.43,38.81,23.3,1,153334.037,4
29,0.94,1.39,1.03,6.79,5.68,6.09,649,33.08,44.84,27.93,16.55,60.57,37.72,22.36,1,155736.2359,4
29,0.98,1.44,1.06,30.27,28.14,28.42,119,37.18,35.56,23.77,14.51,49.59,33.15,20.24,1,153508.2476,4
29,0.93,1.41,1,62.02,56.27,58.03,59,38.22,29.39,20.46,12.27,43.65,30.39,18.22,1,160413.6708,4
29,0.27,0.67,0.29,4.89,4.14,4.53,621,38,18.72,15.42,7.11,21.42,17.64,8.14,1,179971.4852,4
29,0.24,0.97,0.25,22.51,21.25,21.47,59,32.71,26.59,17.57,8.7,51.32,33.91,16.79,1,147636.7886,4
29,0.11,1.26,0.11,47.33,44.74,45.48,27,33.33,20.53,14.01,6.84,46.55,31.76,15.51,1,146408.1443,4
29,-0.02,1.03,-0.02,74.2,62.47,70.33,15,32.73,12.62,10.09,4.13,25.07,20.05,8.21,1,159298.2097,4
29,0.46,0.57,0.48,78.44,76.22,75.61,18,18.87,15.28,9.07,2.88,68.38,40.61,12.9,1,42344.3162,4
29,-0.01,0.18,-0.01,55.92,54.08,53.84,25,20.21,14.38,11.87,2.91,21.18,17.48,4.28,1,40875.5625,4
42,0.595,1.0743,0.6541,20.8864,16.19310997,18.9091,44,39.8927,22.1069,13.5786,8.819,62.807,38.5776,25.0554,0,52591.748,4
42,0.5207,0.918,0.5726,20.3571,16.19310997,18.2381,42,42.8428,21.8005,14.238,9.3399,53.1144,34.6893,22.7557,0,53144.894,4
42,0.6935,1.1578,0.7741,15.4786,16.19310997,13.7965,43.351,35.1829,28.8054,15.785,10.1346,82.4853,45.2011,29.0207,0,54721.0457,4
42,0.7333,1.12,0.8193,16.6304,16.19310997,14.7174,46,36.1992,28.4705,15.7103,10.3061,81.2216,44.8189,29.4016,0,55628.6065,4
42,0.7214,1.162,0.802,26.1,16.19310997,23.975,40,35.9386,27.3133,15.0181,9.816,81.8694,45.0155,29.4227,0,55947.257,4
42,0.5655,1.0156,0.6275,24.1842,16.19310997,21.8158,38,38.5255,32.9105,19.4477,12.679,69.2256,40.9073,26.6695,0,54884.2302,4
42,0.5136,0.9207,0.5732,16.6818,16.19310997,14.4773,44,38.1333,31.1518,19.1935,11.8792,62.3037,38.3871,23.7584,0,58223.2035,4
42,0.5478,0.954,0.6099,20.0698,16.19310997,17.9535,43,38.8105,29.9003,18.3066,11.6045,63.3306,38.7745,24.5789,0,52594.101,4
42,0.5738,1.0496,0.6397,23.44,16.19310997,21.4,50,38.9225,28.2017,16.9314,10.9768,66.5644,39.9632,25.9085,0,52402.3521,4
42,0.3672,0.9419,0.4082,21.5294,16.19310997,19.6078,51,40.1792,26.4407,16.6854,10.6237,58.4657,36.8948,23.491,0,62616.6954,4
42,0.4096,0.8679,0.455,17.9273,16.19310997,15.7455,55,37.7352,27.2397,16.8698,10.279,61.4709,38.0693,23.1961,0,65710.5486,4
42,0.3988,0.8191,0.4438,17.3509,16.19310997,15.4211,57,36.7475,23.8605,14.8323,8.7682,60.8687,37.8375,22.3678,0,71529.5043,4
42,0.4356,0.9328,0.4831,19.8116,16.19310997,18.2319,69,34.9752,16.8397,9.8771,5.8897,70.4927,41.3465,24.655,0,80456.1342,4
42,0.4098,0.9366,0.4565,17.0303,16.19310997,15.2424,66,34.8947,16.7078,9.7539,5.8301,71.293,41.6205,24.8774,0,87297.8364,4
42,0.0832,0.4137,0.0924,13.325,16.19310997,11.8625,80,35.8487,21.161,16.1044,7.5859,31.3984,23.8956,11.2559,0,92983.197,4
42,0.5389,1.0104,0.5968,15.9028,13.8889,14.3472,72,35.4515,20.7401,11.6887,7.3527,77.4368,43.6419,27.4525,0,103399.8524,4
42,0.5238,1.0233,0.5801,21.1972,17.8873,19.4648,71,35.9257,19.2722,10.9915,6.9237,75.3369,42.9669,27.0653,0,122196.5971,4
42,0.4441,1.1186,0.5128,10.3433,5.8358,6.7761,67,39.2781,18.2197,10.8129,7.1564,68.5004,40.653,26.9056,0,126625.8877,4
42,0.6277,1.1527,0.7292,15.8553,2.8289,13.7632,76,38.0917,18.1287,10.4602,6.9055,73.3106,42.3001,27.9253,0,130562.2524,4
42,0.3312,0.9414,0.3854,18.8235,15.75,16.7941,68,40.2286,14.4203,9.1523,5.8011,57.5596,36.532,23.1554,0,138226.9937,4
42,0.2807,1,0.3288,25.9032,21.6613,23.2742,62,39.6442,13.1057,8.3884,5.1957,56.2362,35.9944,22.2944,0,168648.5664,4
42,0.1537,0.6249,0.173,24,18.7586,21.431,58,41.84,13.0065,9.1701,5.4419,41.8349,29.4955,17.5037,0,150878.7493,4
42,0.3611,0.7748,0.4063,19.2714,14.7429,16.7571,70,43.1582,10.9561,7.1607,4.7285,53.0023,34.6415,22.8749,0,164760.0652,4
42,-0.1834,0.1838,-0.2062,23.129,20.1452,20.6774,62,44.1586,9.0195,8.0266,3.9829,12.3707,11.0089,5.4627,0,191329.4026,4
42,0.4277,0.894,0.4807,22.3867,19.3867,20.1467,75,43.739,8.5911,5.4264,3.7577,58.3219,36.8375,25.5094,0,210933.5515,4
42,0.4776,0.8885,0.537,19.2778,16.4722,17.1806,72,43.9875,8.7521,5.5111,3.8498,58.8093,37.0314,25.8687,0,141886.7483,4
42,0.5955,1.0366,0.6728,16.3382,12.6471,13.7794,68,43.8914,8.1757,5.0694,3.5884,61.2757,37.9944,26.8948,0,165189.7104,4
42,0.7074,1.1706,0.8074,17.3247,14.3636,14.8571,77,43.5684,8.1762,4.9077,3.5623,66.5999,39.976,29.0165,0,151430.6604,4
42,0.7073,1.3184,0.8163,20.5128,16.6154,17.8205,78,42.7629,12.168,7.2251,5.2034,68.4118,40.6217,29.2548,0,153075.954,4
42,0.876,1.3842,1.026,14.6966,11.8202,12.3483,89,43.539,11.7026,7.0153,5.0952,66.8145,40.0532,29.0904,0,119167.9937,4
42,0.9248,1.5638,1.1087,5.7204,2.6989,3.7527,93,43.9948,8.9772,5.4257,3.9495,65.4578,39.5616,28.798,0,143969.2437,4
42,1.0227,1.9598,1.2456,11.4848,8.835,9.2929,99,40.0576,9.5821,5.2437,3.8384,82.7342,45.2757,33.1413,0,116118.1152,4
42,-0.7863,0.486,-0.9571,14.3025,12.6891,12.4034,119,39.4875,9.277,7.709,3.6633,20.3397,16.9019,8.0316,0,142244.6006,4
42,0.7549,1.6577,0.8949,12.1333,10.8667,11.0583,120,42.5565,8.6413,5.1271,3.6775,68.5418,40.6676,29.169,0,136654.875,4
42,0.24,1.1212,0.2768,13.9266,12.4404,12.0826,109,44.7154,8.9631,5.5789,4.0079,60.6591,37.7564,27.1239,0,151415.1482,4
42,0.5578,1.1304,0.6344,16.1099,14.6044,14.0659,91,44.9479,13.59,8.4389,6.1084,61.04,37.9036,27.4362,0,112313.6877,4
42,0.4522,1.002,0.5117,22.2338,19.9481,19.6494,77,46.4868,13.0297,8.5525,6.0571,52.3494,34.3614,24.3356,0,111937.005,4
42,0.0441,0.974,0.0504,22.6818,19.4242,19.8636,66,48.9036,12.6218,8.5493,6.1725,47.6362,32.2659,23.2958,0,116387.2476,4
42,0.5173,0.9563,0.5949,26.9091,22.5273,22.6909,55,50.7026,10.725,7.395,5.4378,45.029,31.0483,22.8309,0,117225.603,4
42,0.5761,1.1239,0.6656,29.413,25.6087,25.1739,46,44.4426,23.5372,15.1042,10.4606,55.8321,35.8284,24.8132,0,129791.734,4
42,0.5025,1.1071,0.5789,31.9828,28.0678,28.4828,58,44.8887,24.4384,16.0393,10.9701,52.3654,34.3683,23.5061,0,139048.448,4
42,-0.0457,0.992,-0.0525,33.5769,29.5769,29.7115,52,45.8972,24.4144,16.5114,11.2055,47.8643,32.3704,21.9684,0,118936.7234,4
42,0.4667,0.9488,0.5334,34.814,28.5581,30,43,48.1613,22.8898,15.7438,11.024,45.3898,31.2194,21.8603,0,108328.64,4
42,0.4522,1.0741,0.5161,31.8444,27.5111,27.4444,45,46.1021,22.7441,15.0976,10.4855,50.6469,33.6196,23.3493,0,99714.0602,4
42,0.3469,1.0164,0.3964,43.8372,39.1163,38.8837,43,48.4239,18.8414,13.1647,9.1238,43.121,30.1291,20.8809,0,114187.8137,4
42,0.2604,0.9728,0.2983,40.881,36.9048,35.8571,42,49.3487,18.329,12.9974,9.0451,41.0203,29.0882,20.243,0,105311.5426,4
42,0.2921,0.936,0.335,33.5208,28.375,28.7708,48,51.5324,17.8637,12.8991,9.2056,38.4883,27.7917,19.834,0,123907.749,4
42,0.296,1.076,0.3386,37.8182,33.9545,32.9773,44,50.2691,17.8284,12.3716,8.9622,44.1072,30.6072,22.1723,0,122393.481,4
42,0.1959,1.0669,0.2233,42.766,38.8936,38.3617,47,50.2697,11.9709,8.3322,6.0178,43.6713,30.3967,21.9534,0,122451.3552,4
42,0.1429,1.0643,0.163,36.1489,32.5745,31.6809,47,51.0375,7.9444,5.5328,4.0546,43.587,30.3558,22.2457,0,96768.009,4
