Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
4,2.81,4.05,3.87,4.31,2.42,3.18,118,30.89,139.4,58.18,43.07,139.62,58.27,43.14,2,8032.4125,2
4,2.63,3.72,3.59,4.2,3.23,3.09,123,32.79,126.35,55.76,41.43,126.58,55.87,41.51,2,9759.1825,2
4,2.36,3.32,3.2,4.55,3.54,3.4,118,34.94,110.1,52.35,38.47,110.3,52.45,38.53,2,13470.8182,2
4,2.2,3.05,2.95,5.12,3.73,3.88,113,37.29,98.3,49.5,36.65,98.58,49.64,36.76,1,14948.8877,2
4,1.81,2.5,2.4,6,3.99,4.61,102,39.08,82.73,45.15,32.34,83.23,45.42,32.53,1,14805.4938,2
4,1.79,2.46,2.36,6.45,4.3,4.92,97,39.5,82.55,45.08,32.61,83.12,45.39,32.83,1,18111.5885,2
4,1.68,2.28,2.19,7.88,5.49,6.13,86,39.49,81.51,44.74,32.19,82.17,45.11,32.45,1,19571.3397,2
4,1.57,2.11,2.03,9.61,7.37,7.56,75,40.07,78.46,43.93,31.44,78.63,44.02,31.5,1,18855.7786,2
4,1.39,1.83,1.77,11.19,6.75,9.01,69,40.68,69.75,40.67,28.37,71.51,41.69,29.09,1,36396.3045,2
4,1.36,1.79,1.69,9.14,6.63,7.77,71,41.97,70.09,41.03,29.41,70.8,41.45,29.71,2,7825.2526,2
4,1.5,2.07,1.9,4.64,1.93,3,73,40.92,72.79,42.03,29.79,73.21,42.27,29.96,2,6025.7328,2
4,1.97,2.86,2.64,1.85,-0.14,0.32,73,39.12,76.48,43.23,29.92,76.92,43.48,30.09,2,6716.9734,2
4,7.85,55.45,45.81,1.84,0.79,0.76,92,16.85,258.68,71.64,43.6,261.09,72.31,44,2,5130.2513,2
4,7.14,81.37,54.1,2.24,1.29,1.29,101,17.2,272.17,72.92,46.81,273.25,73.21,47,2,5402.5429,2
4,4.73,15.7,10.25,1.35,-0.5,0.73,102,17.11,272.59,72.94,46.63,273.73,73.24,46.83,2,5739.997,2
4,5.16,17.15,11.64,0.97,0.23,0.06,101,13.68,350.92,77.57,47.99,352.38,77.89,48.19,2,5271.4294,2
4,5.85,18.98,13.54,1.23,-0.45,0.43,100,10.41,468.56,82.14,48.76,470.42,82.47,48.95,2,3597.9786,2
4,6.54,18.62,14.8,2.21,1.07,1.32,102,11.77,435.4,81.06,51.25,437.12,81.38,51.45,2,3471.98,2
4,6.53,15.45,13.59,1.99,0.77,1.26,101,7.68,677.09,86.83,52.03,679.77,87.18,52.24,3,3285.1649,2
4,6.01,14.23,11.79,1.08,0.08,0.31,104,6.98,754.2,87.68,52.63,760.22,88.38,53.05,3,3836.5204,2
4,5.73,13.51,11.18,1.5,-1.61,0.59,102,3.09,1803.03,94.33,55.74,1811.36,94.77,56,3,3286.9474,2
4,6.31,14.77,12.85,1.85,0.9,1,105,2.02,2851.5,96.18,57.55,2864.67,96.63,57.81,3,3041.4864,2
4,6.66,17.86,15.19,1.45,0.08,0.68,105,1.81,3197.32,96.53,57.72,3212.08,96.98,57.99,3,3082.1074,2
4,6.16,15.09,12.91,1.55,0,0.76,105,1.23,4718.81,97.9,57.87,4719.8,97.93,57.89,3,1592.9525,2
4,6.21,14.59,12.78,1.58,-1.05,0.68,104,0.64,8835.19,98.86,56.84,8837.04,98.88,56.86,3,2409.8453,2
4,6.46,13.76,12.92,2.07,0.54,1.2,104,0.39,14915.63,99.29,58.39,14921.88,99.33,58.42,3,2695.0203,2
4,6.23,13.81,12.77,1.64,0.36,0.69,102,0.35,16465.52,99.35,57.93,16472.41,99.4,57.95,3,2649.2455,2
4,6.01,14.39,12.71,1.47,0.45,0.62,106,1.64,3512.5,97.19,57.6,3513.97,97.23,57.62,3,2647.2834,2
4,5.74,12.88,11.47,1.92,0.7,1.04,106,1.26,3250.34,96.98,58.45,3251.7,97.02,58.48,3,548.7489,2
4,4.98,11,9.44,2.47,1.55,1.6,110,3.6,1372.49,93.17,57.33,1373.08,93.21,57.35,3,556.7188,2
4,4.45,9.44,7.88,1.96,1.24,1.15,120,3.61,1388.59,93.24,58.32,1389.19,93.28,58.35,3,1355.9011,2
4,3.74,7.66,6.32,2.05,1.24,1.19,112,3.71,634.03,86.34,54.18,634.32,86.38,54.2,3,2828.868,2
4,3.87,7.94,6.64,1.81,-0.06,0.88,103,3.92,612.91,85.94,53.72,613.2,85.98,53.74,3,2593.3176,2
4,3.89,7.59,6.54,2.72,1.95,1.84,109,5.18,539.95,84.34,54.65,540.2,84.38,54.68,2,2768.8632,2
4,3.63,7.17,5.97,2.5,1.79,1.6,107,5.59,517.19,83.76,54.53,517.43,83.8,54.56,2,2105.0432,2
4,3.86,7.25,6.53,1.85,0.85,0.91,107,16.13,229.99,69.67,47.53,230.1,69.71,47.56,2,2290.7434,2
4,3.56,6.41,5.77,2.63,0.69,1.63,101,16.85,219.74,67.94,47.02,223.42,69.08,47.81,2,3249.8883,2
4,3.49,5.9,5.51,3.05,2.07,2.19,118,17.71,210.38,67.01,47.09,213.94,68.15,47.89,2,3645.5606,2
4,3.53,6,5.62,2.74,1.91,1.68,98,17.5,212.86,66.58,47.29,219.69,68.72,48.81,2,2987.2877,2
4,3.66,6.13,5.85,2.92,1.29,1.34,59,16.45,223.19,67.54,47.82,230.44,69.74,49.38,2,1705.7563,2
4,4.02,6.63,6.45,2.55,0.82,1.55,100,13.06,284.75,73.18,50.74,289.12,74.3,51.52,2,2129.0826,2
4,4.46,7.59,7.42,3.15,1.77,2.09,98,13.18,277.63,70.07,50.26,296.25,74.76,53.63,2,8783.4054,2
4,4.59,7.67,7.54,2.75,1.62,1.76,102,13.33,362.33,75.27,53.16,381.37,79.23,55.96,2,2182.4286,2
4,4.22,6.86,6.74,2.55,1.51,1.49,103,13.92,350.82,74.69,53.22,369.73,78.71,56.09,2,2618.8191,2
4,4.15,7.01,6.53,3,1.64,1.94,109,12.64,417.99,79.53,57.03,425.61,80.97,58.07,2,3397.4335,2
4,4.72,7.87,7.73,2.52,1.23,1.42,103,10.87,496.77,82.58,60.29,501.57,83.38,60.87,2,4921.0091,2
4,4.73,7.91,7.79,3.3,2.04,2.06,98,9.78,524.41,83.09,60.77,531.1,84.15,61.54,2,4690.1218,2
4,4.88,8.24,8.12,2.93,1.37,1.63,91,8.84,567.3,83.36,60.94,580.56,85.31,62.36,2,4084.6475,2
4,8.89,16.36,16.19,1.97,0.36,0.92,182,4.59,878.16,88.64,65.02,890.72,89.91,65.95,2,4079.7432,2
4,8.46,16.35,16.15,1.99,0.45,0.93,182,4.42,946.65,85.89,64.38,1002.14,90.93,68.15,2,4177.6138,2
4,7.95,16.71,16.12,2.19,0.92,1.09,190,4.28,951.48,86.06,64.72,1005.57,90.95,68.4,2,4591.3892,2
4,7.3,15.3,15.04,2.25,1.11,1.13,186,4.25,907.69,89.39,66.17,915.45,90.15,66.73,2,5833.5234,2
4,6.44,12.56,12.35,2.94,1.93,1.72,196,3.63,970.07,89.86,64.09,979.51,90.74,64.72,2,4985.0159,2
4,6.37,11.8,11.63,2.5,1.57,1.46,199,4.55,1002.03,87.49,64.17,1045.25,91.27,66.94,2,4909.6096,2
4,7.8,14.72,14.43,1.66,0.86,0.76,217,3.53,561.02,84.3,64.35,565.5,84.97,64.86,2,5748.3522,2
4,7.5,13.69,13.27,1.9,1.07,1.16,248,3.46,542.3,83.89,63.19,546.44,84.53,63.67,2,3676.9366,2
4,7.64,13.74,13.4,2.11,1,1.27,248,2.92,446.12,81.1,60.73,450.06,81.82,61.27,2,2984.3985,2
4,7.2,13.05,12.39,2.3,1.44,1.43,243,2.63,433.93,80.49,60.38,439.13,81.45,61.1,3,2871.8232,2
4,6.8,11.93,11.39,1.98,1.14,1.09,244,2.16,417.86,79.88,59.08,423.14,80.88,59.82,3,2750.6222,2
13,6.75,24.4,23.24,2.72,2.61,0.6,102,29.93,168.06,61.87,50.3,171.62,63.18,51.37,2,16327.8499,2
13,6.78,29.61,28.06,3.07,2.93,0.86,100.6,26.36,199.06,65.41,52.47,204.34,67.14,53.86,2,13542.845,2
13,7,44.32,42.82,2.28,1.79,0.25,116,26.76,196.1,65.02,52.47,201.58,66.84,53.94,2,16707.6576,2
13,9.46,138.24,126.6,1.32,1.16,-0.6,162.9,20.71,283.41,71.51,58.69,296.33,74.77,61.37,2,18123.5564,2
13,8.18,78.54,75.47,2.95,2.86,0.75,155.3,20.51,287.91,72.71,59.06,295.99,74.75,60.72,2,22791.8584,2
13,5.91,56.85,43.47,2.6,2.53,0.8,176.8,28.83,183.2,63.33,52.81,189.29,65.43,54.56,2,28637.8224,2
13,7.6,396.67,384.51,3.16,2.69,1.47,241.2,18.85,317.83,75.17,61.15,322.8,76.35,62.11,2,42227.553,2
13,4.72,10.05,9.55,4.35,4.19,2.65,258.4,18.93,297.77,72.46,57.59,310.97,75.67,60.14,2,43732.361,2
13,3.99,7.61,7.45,4.87,4.51,2.69,224.9,20.07,281.91,73.81,57.89,281.93,73.82,57.89,2,47887.4408,2
13,6.1,11.75,10.91,3.28,3.06,1.92,297.8,16.73,393.87,79.45,67.15,395.74,79.83,67.47,2,67548.877,2
13,7.17,14.03,13.59,2.37,2.25,0.83,412.7,13.31,461.85,80.9,62.66,470.86,82.48,63.88,2,76190.1175,2
13,6.98,15.71,14.99,2.79,2.67,1.07,420.2,13.09,466.79,80.8,62.28,477.72,82.69,63.74,2,60997.8947,2
13,7.24,19.65,19.27,2.5,2.33,0.51,432.5,12.07,501.93,81.54,61.81,515.58,83.76,63.49,2,34471.2149,2
13,7.58,29.68,28.46,1.91,1.76,0.16,426.6,11.54,541.99,82.91,63.86,553.68,84.7,65.24,2,8998.6494,2
14,0.02,0.83,0.02,21.75,16.21,19.38,125,46.72,14.26,9.6,6.66,48.5,32.66,22.66,0,250138.45,2
