Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
22,2.05,3.07,2.96,7.2,5.12,4.28,25,41.6,71.36,41.54,29.83,71.77,41.78,30,1,2829.9002,5
22,2.01,2.97,2.86,5.78,4.42,4.04,23,40.71,73.8,42.4,30.19,74.04,42.54,30.29,1,3170.5273,5
22,1.98,2.85,2.76,6.67,5.36,5.04,24,41.64,69.47,40.92,29.06,69.76,41.09,29.18,1,3768.5159,5
22,1.71,2.74,2.43,6.58,4.77,5.04,24,26.24,138.07,57.86,36.56,138.65,58.1,36.71,1,2603.7883,5
22,1.8,2.69,2.42,6.64,4.88,4.96,25,26.29,133.33,56.8,35.87,134.75,57.4,36.25,1,3468.7887,5
22,1.74,2.62,2.33,5.63,4.5,3.96,24,27.69,122.71,54.97,34.72,123.22,55.2,34.86,1,3233.2217,5
22,1.68,2.63,2.27,6.67,5.67,4.96,24,28.6,116.91,53.75,34.13,117.49,54.02,34.3,1,3101.5912,5
22,1.58,2.55,2.14,7.09,5.78,5.3,23,28.87,113.51,53.07,33.02,113.9,53.25,33.14,1,3182.5403,5
22,1.91,2.87,2.57,6.88,5.56,5.24,25,28.63,124.98,55.44,36.05,125.44,55.64,36.18,1,3736.4304,5
22,1.91,2.86,2.59,5.68,4.92,3.88,25,26.62,135.77,57.49,36.44,136.18,57.66,36.55,1,3406.119,5
22,1.91,2.84,2.59,6.48,5.76,4.88,25,26.18,139.46,58.14,36.86,139.87,58.31,36.97,1,3749.1305,5
22,1.96,3,2.6,5.32,4.5,4.41,22,26.09,137.03,57.69,36.09,137.54,57.9,36.22,1,3446.2314,5
22,2.05,3.3,2.75,9.54,7.77,6.92,13,28.95,79.58,35.73,23.23,122.71,55.1,35.82,1,3760.922,5
22,2.22,3.19,3.04,5.05,3,2.9,20,29.81,84.53,39.5,25.42,114.01,53.27,34.29,1,3480.593,5
