Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
2,7.84,380.88,374.26,1.29,0.12,-1.26,27.8,33.26,98.84,49.34,36.51,100.3,50.07,37.05,1,3730.2344,8
2,6.46,54.06,52.99,3.69,-0.31,1.14,37.6,32.47,105.57,50.96,38.09,107.16,51.73,38.66,1,4317.7434,8
2,6.56,42.6,41.78,2.89,-0.49,0.81,41.8,30.95,121.6,54.48,41.66,123.22,55.2,42.22,1,4567.6792,8
2,6.32,35.8,32.58,2.79,0.41,0.86,49.6,28.8,142.69,57.82,45.57,146.8,59.48,46.88,1,3547.1971,8
2,5.78,20.05,19.62,2.6,0.03,0.73,58.5,24.73,159.39,59.29,44.03,168.81,62.8,46.63,1,3496.1454,8
2,5.13,14.89,14.73,3.24,1.38,1.52,61.5,25.4,154.36,58.53,43.77,163.74,62.08,46.43,1,3332.7816,8
2,9.02,25.28,25.07,2.39,0.97,0.83,73.1,18.59,262.39,70.45,53.65,272.42,73.15,55.7,1,3521.6368,8
2,7.28,22.18,21.51,2.15,1.07,0.58,123.5,19.12,264.41,71.17,55.69,271.54,73.08,57.19,1,2632.7051,8
2,6.34,21.29,20.52,2.28,0.79,0.48,121.3,18.44,257.75,67.78,52.45,280.28,73.7,57.03,1,2998.5408,8
2,4.91,19.62,16.39,2.38,1.81,0.92,122.1,19.88,243.88,66.91,53.29,264.5,72.56,57.79,1,3027.6302,8
2,4.03,11.82,10.93,2.69,1.68,1,113.3,14.39,440.1,80.73,63.32,445.13,81.66,64.04,1,2980.185,8
2,3.67,9.91,8.99,2.77,2.33,1.5,109.3,15.94,317.15,74.72,58.34,324.47,76.44,59.69,1,2827.1545,8
2,3.7,9.17,8.44,2.76,2.13,1.37,108,17.03,350.87,76.5,59.75,358.67,78.2,61.08,1,3664.2791,8
2,3.35,8.16,7.1,2.8,2.06,1.33,103.1,17.8,328.56,75.51,58.47,335.11,77.02,59.63,1,3187.6754,8
2,3.15,7.41,6.4,2.86,1.99,1.3,99.2,18.41,259.56,71.11,54.57,265.01,72.6,55.71,1,3536.086,8
2,3.26,7.99,6.82,2.88,2.31,1.41,97.8,19.18,299.65,74.89,57.47,300.13,75.01,57.56,2,3714.7894,8
2,3.24,8.27,6.88,2.77,1.97,1.29,97.7,19.65,291.61,74.38,57.3,292.04,74.49,57.39,2,3480.6982,8
2,3.67,8.01,7.64,3.18,2.44,1.63,90.9,19.77,312.55,75.68,61.8,313.01,75.79,61.9,2,4483.1194,8
2,3.64,7.69,7.39,3.1,1.65,1.56,92.7,20.43,313.23,75.71,63.99,313.7,75.83,64.08,2,4683.5391,8
2,3.53,7.57,7.06,3.33,2.74,1.73,83.7,20.04,320.53,76.13,64.23,321.01,76.25,64.32,2,4405.5265,8
2,3.43,7.34,6.7,3.27,2.56,1.69,84.1,19.91,308.81,73.15,61.48,322.16,76.31,64.14,2,4614.0461,8
2,3.6,7.46,6.95,2.99,2.38,1.61,85.2,17.84,347.94,74.39,62.07,367.71,78.62,65.6,2,4534.3314,8
2,3.57,7.17,6.72,3.51,2.36,1.93,85.7,16.21,383.48,75.89,62.16,405.34,80.21,65.7,2,4013.4946,8
2,3.53,6.98,6.51,3.27,2.76,1.84,85.4,15.67,399.99,76.49,62.66,422.9,80.88,66.25,2,4350.7022,8
2,3.43,6.36,6.13,3.39,2.75,1.99,85.3,15.04,427.37,80.25,64.29,432.52,81.22,65.06,2,4184.9262,8
2,3.11,6.11,5.47,3.38,2.59,1.96,82.2,15.82,401.48,79.45,63.51,405.32,80.21,64.12,2,4514.7586,8
2,3.09,6.98,5.37,3.29,2.03,1.88,83.5,15.58,421.61,80.26,65.68,425.32,80.96,66.26,2,4630.948,8
2,3.71,7.83,6.3,3.36,2.88,2.06,94,16,361.21,71.6,57.78,404.5,80.18,64.71,2,5129.7786,8
2,3.66,6.93,6.32,3.16,2.48,1.74,98.6,16.34,382.07,78.82,62.42,384.74,79.37,62.85,2,5195.6175,8
2,3.71,6.88,6.52,3.19,2.24,1.74,95.2,14.3,450.42,81.8,64.4,450.65,81.84,64.43,2,4724.7408,8
2,3.61,6.72,6.4,3.44,2.23,1.88,92.9,13.75,474.69,82.56,65.28,474.93,82.61,65.32,2,4172.2448,8
2,3.64,7.02,6.69,3.36,2.83,1.81,90.9,13.18,505.14,83.42,66.59,505.55,83.49,66.65,2,3424.2927,8
2,3.7,7.12,6.85,3.38,2.54,1.79,90.7,11.84,571.71,85.05,67.68,572.17,85.12,67.74,2,3610.8941,8
2,3.78,7.14,7,3.34,2.45,1.82,90.3,10.46,659.37,86.77,68.96,659.91,86.84,69.02,2,3581.675,8
2,3.79,7.36,7.1,3.2,2.28,1.67,90.7,7.53,891.55,89.85,68.54,892.28,89.92,68.6,2,2720.8844,8
2,3.87,7.65,7.36,3.12,2.51,1.57,88.7,7.09,957.19,90.47,69.42,957.97,90.55,69.48,2,2242.7735,8
2,3.95,8.36,7.59,2.73,2.17,1.38,98.7,6.24,1103.4,91.57,70.46,1105.02,91.7,70.56,2,2230.2718,8
2,4.02,8.17,7.44,2.85,2.29,1.79,96.6,5.97,1142.25,91.83,69.98,1143.94,91.96,70.08,2,2354.9456,8
2,4.1,7.92,7.33,2.76,1.79,1.67,94.2,4.76,1413.91,93.26,69.7,1416.04,93.4,69.8,2,2439.2817,8
2,4.19,7.64,7.12,2.8,2.06,1.73,93.8,4.37,1559.17,93.84,70.6,1561.52,93.98,70.71,2,2331.7704,8
