Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
12,1.52,2.41,2.03,13.65,10.83,10.13,89.8,53.75,55.71,35.01,29.94,59.15,37.17,31.79,1,223.296,3
12,1.43,2.35,1.92,14.99,10.74,11.51,88.3,53.23,54.06,33.88,28.78,59.59,37.34,31.72,1,230.0009,3
12,1.16,2.18,1.56,16.97,12.48,13.39,86.6,52.13,50.63,32.55,26.4,55.56,35.72,28.97,1,227.5438,3
12,1.12,2.54,1.47,13.39,7.37,9.92,91.4,50.51,59.01,35.34,29.8,66.95,40.1,33.81,1,231.1435,3
12,1.15,2.43,1.5,12.74,9.6,9.75,102.3,51.24,57.42,34.73,29.42,65.35,39.52,33.48,1,211.7987,3
12,1.14,2.26,1.48,14.95,10.92,11.73,97.7,52.53,53.4,33.21,28.05,60.79,37.81,31.93,1,213.8499,3
12,0.87,2.11,1.13,15.74,11.43,12.69,102.9,50.36,55.19,34.67,27.8,59.18,37.18,29.8,1,202.1273,3
12,1.07,1.82,1.36,15,8.48,11.81,99,53.35,54.27,35.15,28.96,54.39,35.23,29.02,1,232.4143,3
12,1.05,1.83,1.33,15.38,10.95,12.18,97.2,53.5,52.01,33.36,27.82,55.9,35.86,29.9,1,252.2776,3
12,0.95,1.61,1.19,17.02,12.66,14.04,101.8,52.03,52.27,33.9,27.2,54.18,35.14,28.19,1,225.0649,3
12,0.72,1.45,0.89,19.15,14.94,16.11,97.9,50.44,51.35,33.84,25.9,51.76,34.11,26.11,1,212.1523,3
12,1.08,1.68,1.32,14.67,7.95,12,113.2,51.99,47.84,29.74,24.87,60.87,37.84,31.65,1,204.0412,3
12,1.25,2.01,1.51,13.76,10.46,11.39,128.5,46.61,72.45,39.94,33.77,81.41,44.87,37.95,1,224.1379,3
12,1.2,1.83,1.44,13.46,10.03,11.31,146.3,47.91,71.4,40.65,34.2,75.64,43.07,36.24,1,182.3408,3
12,1.11,1.57,1.33,16.22,11.53,13.86,131.6,46.39,75.55,43,35.05,75.69,43.08,35.11,1,277.6603,3
12,1.07,1.58,1.26,15.36,9.12,12.97,116.2,47.02,76.11,43.16,35.79,76.35,43.3,35.9,1,220.8409,3
12,1.12,1.63,1.32,13.92,10.32,11.58,120.9,45.61,82.16,45.07,37.47,82.31,45.15,37.54,1,149.637,3
12,1.16,1.72,1.38,16.65,12.73,14.09,119.3,45.35,79.22,43.28,35.93,83.06,45.37,37.66,1,168.1144,3
12,1.15,1.7,1.36,19.06,14.62,16.41,117.8,43.86,80.81,43.91,35.44,84.02,45.66,36.85,1,139.9775,3
12,1.09,1.55,1.28,18.61,12.72,15.85,115.2,46.43,75.25,42.91,34.94,75.38,42.98,35,1,110.6138,3
