Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19950131,20,0.348,0.461,0.205,0.277,1.992,0.344,0.125,0.508,0.608,0.511,1.549,4.209,0.714,2.179,125.71,2
19950430,20,0.32,0.561,0.195,0.292,4.56,0.258,0.125,0.465,0.646,0.56,1.828,2.872,0.616,1.78,119.028,2
19950731,20,0.284,0.564,0.192,0.286,5.457,0.226,0.125,0.392,0.638,0.551,1.759,2.295,0.582,1.723,115.6,3
19951031,20,0.274,0.601,0.182,0.293,7.058,0.207,0.125,0.372,0.646,0.562,1.821,1.837,0.528,1.65,117.056,3
19960131,20,0.313,0.651,0.171,0.332,4.372,0.246,0.037,0.435,0.65,0.584,1.854,1.651,0.551,1.708,117.441,3
19960430,20,0.29,0.689,0.166,0.329,6.88,0.21,0.037,0.404,0.661,0.593,1.948,1.923,0.49,1.608,120.367,3
19960731,20,0.314,0.681,0.159,0.334,5.663,0.232,0.037,0.452,0.664,0.6,1.973,2.326,0.49,1.646,117.998,3
19961031,20,0.355,0.651,0.153,0.339,5.408,0.279,0.037,0.544,0.664,0.606,1.977,2.424,0.503,1.761,120.066,3
19970131,20,0.454,0.601,0.16,0.361,3.537,0.406,0.007,0.8,0.672,0.619,2.048,2.479,0.629,2.141,120.98,3
19970430,20,0.426,0.6,0.152,0.342,5.137,0.361,0.007,0.734,0.673,0.617,2.056,2.35,0.555,1.981,120.579,3
19970731,20,0.456,0.579,0.149,0.345,5.494,0.403,0.007,0.831,0.675,0.62,2.081,2.151,0.587,2.123,124.166,3
19971031,20,0.463,0.581,0.149,0.344,5.558,0.401,0.007,0.852,0.682,0.624,2.144,2.033,0.575,2.088,122.445,3
19980131,20,0.497,0.634,0.144,0.361,3.589,0.397,0.118,0.956,0.713,0.65,2.489,1.989,0.569,1.937,122.649,3
19980430,20,0.477,0.589,0.141,0.341,5.208,0.395,0.118,0.905,0.698,0.635,2.309,2.121,0.545,1.991,117.199,3
19980731,20,0.481,0.575,0.146,0.331,4.695,0.395,0.118,0.919,0.701,0.636,2.347,2.285,0.535,1.964,113.456,3
19981031,20,0.472,0.562,0.14,0.323,4.033,0.39,0.118,0.887,0.696,0.63,2.292,2.645,0.527,1.954,112.731,3
19990131,20,0.442,0.506,0.136,0.301,2.283,0.393,0.18,0.771,0.669,0.597,2.017,3.062,0.548,2.018,118.12,3
19990430,20,0.448,0.514,0.141,0.3,3.077,0.385,0.18,0.807,0.678,0.61,2.109,3.53,0.508,1.977,114.342,3
19990731,20,0.437,0.5,0.139,0.293,2.785,0.382,0.18,0.77,0.67,0.6,2.029,3.937,0.504,1.987,113.295,3
19991031,20,0.425,0.492,0.138,0.289,2.831,0.377,0.18,0.733,0.662,0.591,1.957,3.914,0.507,1.992,113.858,3
20000131,20,0.393,0.418,0.14,0.265,1.846,0.405,0.098,0.627,0.616,0.534,1.602,3.899,0.559,2.24,110.363,3
20000430,20,0.401,0.451,0.128,0.271,2.854,0.376,0.098,0.665,0.64,0.567,1.78,3.828,0.492,2.061,114.022,3
20000731,20,0.391,0.447,0.121,0.269,2.946,0.371,0.098,0.636,0.633,0.562,1.728,3.736,0.475,2.068,115.729,3
20001031,20,0.382,0.459,0.113,0.272,2.967,0.357,0.098,0.613,0.634,0.565,1.729,3.727,0.446,2.021,116.176,3
20010131,20,0.36,0.542,0.114,0.309,2.42,0.323,0.014,0.548,0.635,0.569,1.741,3.745,0.455,1.9,117.223,3
20010430,20,0.36,0.521,0.105,0.296,2.783,0.321,0.014,0.559,0.637,0.573,1.754,3.602,0.41,1.893,119.78,3
20010731,20,0.345,0.551,0.103,0.302,2.936,0.296,0.014,0.524,0.641,0.582,1.784,3.125,0.397,1.812,119.839,3
20011031,20,0.33,0.564,0.103,0.309,3.013,0.286,0.014,0.49,0.633,0.575,1.723,2.785,0.38,1.804,123.032,3
20020131,20,0.325,0.569,0.13,0.309,2.652,0.278,0.047,0.467,0.634,0.569,1.731,2.71,0.434,1.748,114.09,3
20020430,20,0.317,0.548,0.109,0.301,2.644,0.278,0.047,0.461,0.625,0.564,1.67,3.047,0.402,1.783,114.065,3
20020731,20,0.31,0.52,0.106,0.287,2.414,0.277,0.047,0.447,0.619,0.551,1.627,3.59,0.429,1.784,107.058,3
