Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19950131,24,0.209,0.392,0.398,0.203,0.749,0.184,0.336,0.249,0.59,0.416,1.458,15.889,0.551,1.015,70.264,0
19950430,24,0.222,0.45,0.402,0.233,0.894,0.192,0.336,0.263,0.597,0.441,1.503,13.409,0.51,0.918,66.975,0
19950731,24,0.25,0.502,0.399,0.273,1.198,0.229,0.317,0.317,0.592,0.48,1.516,9.561,0.382,0.731,53.462,0
19951031,24,0.241,0.51,0.419,0.266,1.061,0.209,0.317,0.293,0.603,0.469,1.538,10.913,0.455,0.813,61.957,0
19960131,24,0.261,0.522,0.425,0.279,1.115,0.23,0.317,0.326,0.605,0.477,1.549,10.069,0.437,0.785,59.395,0
19960430,24,0.248,0.49,0.429,0.264,1.038,0.226,0.317,0.306,0.594,0.46,1.478,10.492,0.429,0.785,59.269,0
19960731,24,0.208,0.45,0.427,0.243,0.999,0.196,0.319,0.247,0.573,0.443,1.386,9.759,0.394,0.726,47.729,0
19961031,24,0.265,0.572,0.438,0.288,1.144,0.211,0.319,0.33,0.63,0.498,1.72,12.684,0.394,0.702,58.868,0
19970131,24,0.28,0.715,0.448,0.324,1.373,0.188,0.319,0.352,0.674,0.553,2.091,11.378,0.357,0.621,64.067,0
19970430,24,0.321,0.87,0.457,0.359,1.587,0.184,0.319,0.433,0.72,0.611,2.599,10.461,0.334,0.569,64.908,0
19970731,24,0.434,1.001,0.4,0.412,1.444,0.233,0.24,0.69,0.767,0.697,3.49,8.809,0.275,0.531,44.86,0
19971031,24,0.401,1.055,0.459,0.408,1.751,0.201,0.24,0.603,0.768,0.68,3.363,8.344,0.317,0.543,70.016,0
19980131,24,0.427,1.104,0.455,0.431,1.71,0.215,0.24,0.671,0.776,0.698,3.513,8.765,0.317,0.545,66.998,0
19980430,24,0.467,1.156,0.459,0.447,1.663,0.228,0.24,0.751,0.794,0.721,3.912,8.674,0.326,0.549,66.687,0
19980731,24,0.571,1.255,0.456,0.456,1.486,0.246,0.297,1.044,0.844,0.779,5.441,7.84,0.313,0.514,47.702,0
19981031,24,0.552,1.252,0.474,0.47,1.58,0.249,0.297,0.996,0.832,0.766,4.953,8.989,0.339,0.542,59.31,0
19990131,24,0.607,1.32,0.467,0.479,1.653,0.257,0.297,1.197,0.857,0.797,6.023,8.309,0.331,0.533,56.672,0
19990430,24,0.646,1.411,0.445,0.502,1.698,0.263,0.297,1.366,0.874,0.823,6.956,8.462,0.312,0.52,55.171,0
19990731,24,0.85,2.119,0.418,0.601,2.198,0.252,0.176,2.671,0.957,0.942,22.498,6.905,0.216,0.411,44.162,0
19991031,24,0.763,1.851,0.425,0.566,2.021,0.252,0.176,1.994,0.928,0.9,12.818,7.669,0.26,0.46,55.413,0
20000131,24,0.813,1.995,0.423,0.581,1.896,0.25,0.176,2.661,0.946,0.924,17.363,8.033,0.25,0.445,52.869,0
20000430,24,0.855,2.119,0.427,0.592,1.948,0.249,0.176,3.16,0.96,0.943,23.717,7.723,0.239,0.432,53.193,0
20000731,24,0.899,2.281,0.379,0.595,2.068,0.241,0.23,2.886,0.974,0.963,36.927,6.368,0.197,0.385,39.604,0
20001031,24,0.879,2.166,0.417,0.586,1.983,0.246,0.23,3.351,0.967,0.953,29.576,6.773,0.234,0.423,48.317,1
20010131,24,0.958,2.178,0.417,0.598,1.989,0.266,0.23,3.297,0.989,0.984,86.422,6.756,0.232,0.42,44.465,1
20010430,24,1.023,1.97,0.415,0.607,1.985,0.313,0.23,3.878,1.007,1.01,-141.39,6.498,0.248,0.443,40.162,1
20010731,24,1.124,2.029,0.362,0.683,2.745,0.363,0.179,0,1.042,1.056,-24.996,5.703,0.2,0.391,28.938,1
20011031,24,1.098,1.762,0.412,0.652,2.307,0.392,0.179,0,1.036,1.051,-28.45,6.173,0.267,0.473,36.643,1
20020131,24,1.069,1.676,0.414,0.653,2.562,0.405,0.179,0,1.027,1.037,-38.301,5.779,0.275,0.485,36.458,1
20020430,24,1.034,1.638,0.412,0.646,2.65,0.402,0.179,5.678,1.013,1.018,-76.263,5.898,0.267,0.474,36.092,1
20020731,24,1.049,1.561,0.348,0.637,2.793,0.42,0.174,0,1.02,1.027,-51.184,5.571,0.209,0.448,23.994,1
20021031,24,1.004,1.651,0.402,0.628,2.778,0.381,0.174,8.121,1.001,1.002,-681.26,5.742,0.244,0.455,34.394,1
20030131,24,0.977,1.603,0.4,0.614,2.787,0.378,0.174,7.002,0.991,0.988,114.611,5.694,0.237,0.453,35.197,1
20030430,24,0.949,1.577,0.405,0.604,2.778,0.37,0.174,5.976,0.98,0.973,49.777,5.728,0.236,0.453,35.641,1
20030731,24,0.853,1.338,0.32,0.569,2.57,0.387,0.15,3.559,0.938,0.915,15.034,6.011,0.209,0.464,25.038,1
20031031,24,0.854,1.317,0.392,0.569,2.546,0.393,0.15,3.837,0.937,0.914,14.913,6.503,0.257,0.501,38.572,1
20040131,24,0.813,1.202,0.388,0.551,2.493,0.408,0.15,3.067,0.914,0.882,10.638,6.691,0.27,0.531,38.921,1
20040430,24,0.783,1.109,0.378,0.536,2.519,0.423,0.15,2.64,0.895,0.857,8.536,6.676,0.285,0.569,40.191,1
20040731,24,0.744,0.981,0.331,0.502,2.409,0.438,0.128,2.109,0.869,0.819,6.637,6.395,0.293,0.633,36.048,1
20041031,24,0.732,0.974,0.383,0.501,2.397,0.436,0.128,2.083,0.862,0.811,6.267,6.822,0.328,0.647,43.803,1
20050131,24,0.708,0.92,0.387,0.483,2.336,0.44,0.128,1.878,0.847,0.789,5.519,6.68,0.347,0.681,44.195,1
20050430,24,0.685,0.868,0.391,0.465,2.207,0.442,0.128,1.7,0.831,0.767,4.915,6.734,0.364,0.711,44.566,1
20050731,24,0.667,0.785,0.337,0.442,2.018,0.462,0.18,1.577,0.813,0.74,4.335,6.404,0.365,0.755,39.139,1
20051031,24,0.642,0.787,0.392,0.434,2.057,0.441,0.18,1.444,0.803,0.727,4.069,6.497,0.394,0.761,44.353,1
20060131,24,0.623,0.775,0.378,0.425,2.024,0.431,0.18,1.331,0.793,0.714,3.834,6.547,0.419,0.782,44.072,1
20060430,24,0.59,0.784,0.358,0.417,2.02,0.401,0.18,1.171,0.782,0.7,3.582,6.699,0.446,0.775,42.766,1
20060731,24,0.545,0.827,0.234,0.408,2.271,0.347,0.201,0.948,0.775,0.688,3.451,5.984,0.467,0.713,33.805,1
20061031,24,0.565,0.806,0.323,0.407,1.991,0.366,0.201,1.033,0.78,0.694,3.551,7.358,0.479,0.764,39.614,1
20070131,24,0.568,0.818,0.317,0.406,1.985,0.359,0.201,1.025,0.785,0.698,3.661,7.575,0.495,0.772,40.524,1
20070430,24,0.581,0.792,0.325,0.402,1.929,0.374,0.201,1.054,0.787,0.7,3.704,8,0.502,0.8,39.96,1
20070731,24,0.616,0.792,0.368,0.414,1.756,0.403,0.131,1.258,0.799,0.722,3.977,7.074,0.396,0.777,29.959,1
20071031,24,0.579,0.785,0.372,0.401,1.862,0.376,0.131,1.067,0.785,0.7,3.656,7.946,0.476,0.817,41.383,1
20080131,24,0.563,0.789,0.395,0.4,1.814,0.367,0.131,1.018,0.778,0.693,3.513,7.889,0.453,0.799,42.07,1
20080430,24,0.54,0.757,0.411,0.385,1.734,0.359,0.131,0.95,0.766,0.675,3.274,7.635,0.461,0.818,41.923,1
20080731,24,0.553,0.886,0.337,0.404,1.672,0.317,0.149,0.977,0.796,0.713,3.912,7.561,0.36,0.705,36.494,1
20081031,24,0.537,0.807,0.398,0.393,1.643,0.338,0.149,0.924,0.774,0.685,3.431,8.447,0.448,0.801,43.465,1
20090131,24,0.568,0.828,0.389,0.406,1.681,0.354,0.149,1.026,0.788,0.703,3.714,9.164,0.444,0.819,44.821,1
20090430,24,0.612,0.909,0.378,0.437,1.727,0.361,0.149,1.173,0.813,0.739,4.361,10.268,0.42,0.803,48.978,1
20090731,24,0.755,0.882,0.34,0.433,1.713,0.422,0.219,2.327,0.88,0.814,7.319,11.123,0.447,0.953,44.742,1
20091031,24,0.686,0.883,0.384,0.446,1.69,0.412,0.219,1.61,0.841,0.771,5.3,12.79,0.472,0.913,52.814,1
20100131,24,0.694,0.858,0.388,0.44,1.657,0.421,0.219,1.701,0.843,0.77,5.385,12.934,0.494,0.943,51.606,1
20100430,24,0.685,0.882,0.393,0.433,1.626,0.398,0.219,1.689,0.845,0.771,5.485,12.716,0.471,0.879,49.374,1
20100731,24,0.677,0.967,0.303,0.443,1.721,0.364,0.198,1.643,0.852,0.782,5.774,11.759,0.466,0.817,43.254,1
