Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19950331,7,0.231,0.252,0.495,0.162,1.091,0.292,0.29,0.248,0.507,0.336,1.03,6.21,1.096,1.308,15.229,0
19950630,7,0.23,0.248,0.48,0.16,0.968,0.296,0.29,0.248,0.503,0.332,1.013,7.316,1.105,1.329,13.543,0
19950930,7,0.221,0.251,0.488,0.161,0.957,0.284,0.29,0.235,0.5,0.331,1,7.354,1.042,1.267,14.677,0
19951231,7,0.209,0.266,0.513,0.169,1.021,0.266,0.256,0.225,0.499,0.346,1.002,7.902,0.944,1.124,10.999,0
19960331,7,0.21,0.258,0.526,0.165,0.947,0.271,0.256,0.223,0.495,0.333,0.983,9.621,0.94,1.153,16.017,0
19960630,7,0.204,0.263,0.525,0.168,0.97,0.266,0.256,0.217,0.491,0.334,0.971,11.185,0.902,1.11,15.895,0
19960930,7,0.206,0.262,0.532,0.169,0.986,0.272,0.256,0.221,0.488,0.334,0.961,12.121,0.912,1.119,16.184,0
19961231,7,0.204,0.25,0.558,0.162,0.885,0.272,0.308,0.22,0.485,0.339,0.949,16.734,0.976,1.151,10.829,0
19970331,7,0.203,0.259,0.533,0.168,0.891,0.272,0.308,0.218,0.483,0.332,0.943,17.052,0.937,1.142,15.635,0
19970630,7,0.206,0.261,0.538,0.17,0.897,0.277,0.308,0.222,0.484,0.335,0.948,14.429,0.941,1.142,15.947,0
19970930,7,0.211,0.269,0.54,0.175,0.916,0.283,0.308,0.23,0.486,0.341,0.962,13.138,0.95,1.151,16.612,0
19971231,7,0.223,0.269,0.509,0.175,1.011,0.294,0.29,0.246,0.494,0.348,0.983,7.649,0.971,1.165,12.167,0
19980331,7,0.224,0.281,0.535,0.184,1.164,0.299,0.29,0.248,0.491,0.349,0.981,6.659,0.925,1.131,18.051,0
19980630,7,0.234,0.294,0.528,0.193,1.292,0.31,0.29,0.262,0.496,0.356,0.998,5.225,0.925,1.133,19.213,0
19960331,8,0.129,0.227,0.705,0.166,0.948,0.259,0.343,0.145,0.363,0.275,0.57,8.683,1.166,1.278,53.473,2
19960630,8,0.201,0.279,0.646,0.21,1.246,0.377,0.343,0.246,0.401,0.318,0.669,7.913,1.39,1.5,57.024,2
19960930,8,0.334,0.36,0.526,0.284,2.008,0.555,0.203,0.482,0.475,0.406,0.903,5.984,1.982,2.1,48.224,2
19961231,8,0.293,0.334,0.564,0.261,1.579,0.512,0.203,0.399,0.448,0.369,0.811,6.041,1.785,1.905,56.512,2
19970331,8,0.318,0.342,0.557,0.271,1.652,0.551,0.203,0.448,0.458,0.397,0.845,6.3,1.938,2.057,44.025,2
19970630,8,0.298,0.337,0.609,0.264,1.442,0.521,0.203,0.409,0.45,0.402,0.817,7.288,1.621,1.735,29.42,2
19970930,8,0.24,0.285,0.801,0.221,1.223,0.453,0.326,0.304,0.41,0.33,0.696,8.833,1.211,1.302,46.562,2
19980331,8,0.24,0.285,0.801,0.221,1.223,0.453,0.326,0.304,0.41,0.33,0.696,8.833,1.211,1.302,46.562,2
19980630,8,0.24,0.285,0.801,0.221,1.223,0.453,0.326,0.304,0.41,0.33,0.696,8.833,1.211,1.302,46.562,2
19980930,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19981231,8,0.2,0.279,0.714,0.209,1.133,0.372,0,0.231,0.402,0.294,0.672,10.095,0.981,1.087,0,2
19990331,8,0.256,0.31,0.543,0.242,1.567,0.476,0,0.319,0.42,0.347,0.723,8.418,1.332,1.448,25.075,2
19990630,8,0.29,0.352,0.396,0.279,2.309,0.522,0,0.384,0.439,0.365,0.782,4.293,1.527,1.64,40.784,2
19990930,8,0.286,0.33,0.33,0.271,2.825,0.568,0,0.385,0.413,0.337,0.705,2.585,1.821,1.934,57.351,1
19991231,8,0.247,0.249,0.518,0.203,3.146,0.52,0.14,0.309,0.387,0.278,0.631,1.786,1.641,1.738,84.343,1
20000331,8,0.241,0.264,0.383,0.22,2.646,0.548,0.14,0.308,0.367,0.282,0.58,1.741,1.796,1.892,55.566,1
20000630,8,0.258,0.26,0.359,0.221,2.505,0.596,0.14,0.333,0.368,0.283,0.583,2.671,2.483,2.585,54.098,1
20000930,8,0.287,0.289,0.339,0.246,2.519,0.62,0.14,0.384,0.394,0.311,0.65,3.598,2.931,3.027,54.775,1
20001231,8,0.321,0.323,0.344,0.274,2.583,0.642,0.166,0.449,0.424,0.356,0.736,4.814,3.583,3.648,44.916,1
20010331,8,0.377,0.379,0.303,0.328,2.518,0.711,0.166,0.576,0.46,0.4,0.852,6.918,4.167,4.246,46.768,1
20010630,8,0.413,0.414,0.336,0.357,2.284,0.721,0.166,0.66,0.493,0.435,0.974,8.461,4.146,4.214,44.893,1
20010930,8,0.448,0.449,0.364,0.381,2.156,0.717,0.166,0.746,0.531,0.472,1.132,9.8,3.847,3.906,40.228,1
20011231,8,0.458,0.458,0.35,0.378,2.28,0.683,0.303,0.731,0.553,0.478,1.235,8.004,3.067,3.123,28.217,1
20020331,8,0.469,0.47,0.36,0.392,2.562,0.702,0.303,0.778,0.557,0.49,1.258,7.173,3.437,3.494,38.935,1
19950331,9,0.476,0.476,0.743,0.384,2.084,0.666,0.316,0.769,0.577,0.506,1.364,1.777,0.85,0.911,0,2
19950630,9,0.52,0.521,0.759,0.424,2.406,0.693,0.316,0.914,0.61,0.545,1.564,1.449,0.908,0.976,0,2
19950930,9,0.532,0.535,0.776,0.437,2.696,0.704,0.316,0.965,0.618,0.556,1.616,1.187,0.953,1.021,0,2
19951231,9,0.495,0.497,0.845,0.401,2.617,0.674,0.209,0.842,0.593,0.526,1.456,1.222,0.862,0.904,0,2
19960331,9,0.517,0.521,0.814,0.424,2.601,0.695,0.209,0.914,0.606,0.544,1.541,1.414,0.946,1.002,0,2
19960630,9,0.483,0.487,0.818,0.397,2.461,0.68,0.209,0.804,0.579,0.513,1.374,1.712,0.911,0.963,0,2
19960930,9,0.473,0.476,0.81,0.389,2.315,0.677,0.209,0.773,0.57,0.504,1.325,2.174,0.894,0.948,0,2
19961231,9,0.449,0.449,0.875,0.361,2.149,0.646,0.256,0.697,0.558,0.482,1.26,2.746,0.821,0.866,0,2
19970331,9,0.447,0.45,0.819,0.366,1.862,0.658,0.256,0.696,0.552,0.48,1.23,3.301,0.84,0.894,0,2
19970630,9,0.451,0.454,0.818,0.368,1.87,0.659,0.256,0.702,0.555,0.482,1.248,3.248,0.834,0.89,0,2
19970930,9,0.45,0.451,0.813,0.362,1.832,0.646,0.256,0.694,0.559,0.479,1.266,3.173,0.848,0.916,0,2
19971231,9,0.465,0.47,0.643,0.367,2.118,0.623,0.3,0.72,0.582,0.495,1.393,3.039,0.908,1.013,0,2
19980331,9,0.448,0.451,0.667,0.358,2.096,0.633,0.3,0.682,0.562,0.476,1.284,2.344,0.947,1.05,0,2
19980630,9,0.44,0.445,0.611,0.351,2.185,0.621,0.3,0.659,0.559,0.468,1.265,2.077,1.013,1.13,0,2
19980930,9,0.428,0.434,0.575,0.342,2.365,0.615,0.3,0.636,0.549,0.455,1.216,1.663,1.043,1.168,0,2
19981231,9,0.427,0.432,0.704,0.34,2.666,0.612,0.215,0.681,0.549,0.45,1.217,-0.936,0.608,0.742,0,2
19990331,9,0.428,0.434,0.617,0.345,3.006,0.624,0.215,0.664,0.545,0.451,1.2,-1.158,0.906,1.051,0,2
19990630,9,0.415,0.419,0.667,0.337,2.799,0.631,0.215,0.66,0.529,0.435,1.123,-0.846,0.863,1.022,0,2
19990930,9,0.402,0.407,0.716,0.33,2.243,0.632,0.215,0.646,0.516,0.425,1.066,0.079,0.84,0.993,0,2
19991231,9,0.413,0.415,0.756,0.343,2.175,0.663,0.225,0.642,0.515,0.453,1.151,3.078,0.885,1.019,0,2
20000331,9,0.393,0.396,0.745,0.325,1.525,0.644,0.225,0.636,0.501,0.414,1.005,4.293,0.955,1.101,0,2
20000630,9,0.406,0.41,0.764,0.336,1.397,0.648,0.225,0.663,0.513,0.428,1.054,5.284,0.99,1.127,0,2
20000930,9,0.402,0.406,0.773,0.332,1.252,0.644,0.225,0.642,0.511,0.425,1.046,6.33,1.03,1.163,0,2
20001231,9,0.369,0.373,0.804,0.296,1.167,0.588,0.41,0.504,0.498,0.411,1.051,7.71,1.04,1.139,0,1
20010331,9,0.389,0.394,0.757,0.312,1.036,0.598,0.41,0.586,0.516,0.418,1.066,9.154,0.969,1.071,0,1
20010630,9,0.376,0.382,0.729,0.299,0.999,0.574,0.41,0.544,0.513,0.407,1.051,9.382,0.94,1.035,0,1
20010930,9,0.366,0.371,0.691,0.289,1.039,0.563,0.41,0.525,0.506,0.403,1.053,8.948,0.934,1.035,0,1
20011231,9,0.316,0.316,0.58,0.251,1.039,0.551,0.475,0.423,0.456,0.365,0.967,7.384,1.139,1.336,0,1
20020331,9,0.332,0.334,0.622,0.264,1.277,0.555,0.475,0.464,0.472,0.372,0.961,5.742,1.075,1.228,0,1
20020630,9,0.314,0.314,0.578,0.25,1.29,0.552,0.475,0.431,0.453,0.355,0.909,5.383,1.23,1.421,0,1
20020930,9,0.306,0.306,0.554,0.245,1.289,0.549,0.475,0.411,0.446,0.346,0.881,5.458,1.37,1.578,0,1
20021231,9,0.287,0.287,0.688,0.228,1.153,0.527,0.337,0.363,0.433,0.325,0.832,6.525,1.236,1.441,9.445,1
20030331,9,0.279,0.279,0.629,0.219,0.929,0.504,0.337,0.349,0.434,0.319,0.833,9.029,1.346,1.538,9.445,1
20030630,9,0.27,0.27,0.68,0.208,0.84,0.472,0.337,0.333,0.44,0.31,0.849,10.438,1.25,1.426,9.445,1
20030930,9,0.269,0.269,0.727,0.202,0.776,0.445,0.337,0.322,0.453,0.304,0.874,11.232,1.101,1.266,9.445,1
20031231,9,0.263,0.263,0.711,0.187,0.744,0.396,0.46,0.286,0.474,0.287,0.9,11.998,0.942,1.096,0,1
20040331,9,0.264,0.264,0.718,0.19,0.729,0.404,0.46,0.296,0.47,0.291,0.903,11.889,0.974,1.121,0,1
20040630,9,0.255,0.255,0.709,0.182,0.678,0.389,0.46,0.277,0.468,0.281,0.879,12.914,0.965,1.106,0,1
20040930,9,0.25,0.25,0.634,0.178,0.642,0.382,0.46,0.269,0.466,0.278,0.872,14.999,1.069,1.201,0,1
20041231,9,0.24,0.24,0.697,0.167,0.639,0.355,0.443,0.252,0.471,0.276,0.889,16.57,0.929,1.051,0,1
20050331,9,0.24,0.24,0.643,0.168,0.568,0.361,0.443,0.255,0.467,0.274,0.877,17.95,1.023,1.142,0,1
20050630,9,0.23,0.236,0.651,0.163,0.537,0.34,0.443,0.24,0.467,0.27,0.877,19.124,0.937,1.05,0,1
20050930,9,0.21,0.216,0.706,0.147,0.466,0.309,0.443,0.215,0.463,0.255,0.861,21.152,0.82,0.925,0,1
20051231,9,0.172,0.172,0.668,0.114,0.391,0.251,0.496,0.168,0.453,0.216,0.828,23.417,0.893,0.989,0,1
20060331,9,0.177,0.186,0.67,0.124,0.396,0.263,0.496,0.174,0.45,0.226,0.818,24.621,0.853,0.952,0,1
20060630,9,0.168,0.196,0.673,0.129,0.425,0.245,0.496,0.164,0.452,0.23,0.824,24.556,0.769,0.86,0,1
20060930,9,0.159,0.212,0.662,0.138,0.487,0.228,0.496,0.152,0.453,0.236,0.829,21.509,0.721,0.81,0,1
20061231,9,0.133,0.251,0.663,0.157,0.654,0.182,0.388,0.121,0.457,0.253,0.843,17.936,0.569,0.653,0,1
