Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19950331,0,0.069,0.253,0.379,0.129,0.4,0.067,0.494,0.074,0.526,0.305,1.108,42.292,0.816,1.117,89.914,0
19950630,0,0.074,0.258,0.379,0.132,0.412,0.072,0.494,0.08,0.527,0.307,1.113,39.079,0.823,1.118,89.914,0
19950930,0,0.08,0.268,0.379,0.138,0.429,0.077,0.494,0.086,0.527,0.314,1.116,36.53,0.83,1.121,89.914,0
19951231,0,0.09,0.307,0.37,0.158,0.504,0.087,0.392,0.097,0.533,0.338,1.141,34.271,0.822,1.115,89.343,0
19960331,0,0.091,0.272,0.37,0.142,0.427,0.09,0.392,0.099,0.525,0.317,1.104,33.728,0.84,1.144,89.343,0
19960630,0,0.089,0.309,0.37,0.158,0.482,0.085,0.392,0.096,0.534,0.335,1.145,32.559,0.795,1.089,89.343,0
19960930,0,0.098,0.337,0.37,0.171,0.528,0.092,0.392,0.106,0.541,0.351,1.181,29.279,0.761,1.052,89.343,0
19961231,0,0.162,0.403,0.381,0.208,0.694,0.148,0.378,0.188,0.567,0.402,1.308,27.807,0.747,1.032,84.448,0
19970331,0,0.135,0.395,0.381,0.199,0.636,0.122,0.378,0.153,0.563,0.39,1.288,24.549,0.733,1.01,84.448,0
19970630,0,0.152,0.394,0.381,0.202,0.643,0.139,0.378,0.177,0.565,0.394,1.299,23.177,0.744,1.026,84.448,0
19970930,0,0.161,0.406,0.381,0.208,0.664,0.144,0.378,0.19,0.571,0.401,1.33,22.573,0.746,1.022,84.448,0
19971231,0,0.158,0.458,0.354,0.225,0.76,0.133,0.372,0.183,0.586,0.427,1.413,21.185,0.747,1.001,78.722,0
19980331,0,0.165,0.424,0.366,0.214,0.691,0.145,0.372,0.197,0.578,0.409,1.369,20.876,0.754,1.024,85.958,0
19980630,0,0.17,0.427,0.356,0.216,0.695,0.148,0.372,0.204,0.581,0.411,1.387,20.065,0.757,1.029,87.893,0
19980930,0,0.18,0.419,0.348,0.215,0.692,0.159,0.372,0.218,0.579,0.409,1.375,19.619,0.773,1.053,86.922,0
19981231,0,0.19,0.439,0.407,0.234,0.794,0.179,0.364,0.23,0.568,0.421,1.313,19.507,0.835,1.119,84.189,0
19990331,0,0.187,0.406,0.419,0.216,0.696,0.176,0.364,0.229,0.567,0.403,1.307,19.851,0.825,1.115,96.171,0
19990630,0,0.185,0.373,0.412,0.207,0.662,0.187,0.364,0.226,0.549,0.384,1.216,20.674,0.883,1.185,96.253,0
19990930,0,0.177,0.339,0.398,0.193,0.645,0.189,0.364,0.214,0.533,0.366,1.14,20.671,0.942,1.252,90.078,0
19991231,0,0.153,0.255,0.387,0.154,0.537,0.19,0.417,0.179,0.487,0.318,0.948,23.04,1.09,1.421,88.575,0
20000331,0,0.158,0.267,0.405,0.16,0.559,0.192,0.417,0.188,0.494,0.321,0.976,23.678,1.063,1.403,95.815,0
20000630,0,0.15,0.236,0.384,0.144,0.523,0.191,0.417,0.176,0.48,0.309,0.922,23.671,1.124,1.478,88.031,0
20000930,0,0.137,0.211,0.368,0.131,0.465,0.184,0.417,0.159,0.464,0.289,0.867,27.261,1.171,1.545,91.69,0
20001231,0,0.112,0.161,0.365,0.102,0.38,0.16,0.462,0.126,0.439,0.254,0.783,28.63,1.311,1.716,90.845,0
20010331,0,0.121,0.316,0.366,0.177,0.71,0.134,0.462,0.137,0.506,0.345,1.026,24.918,0.932,1.244,101.069,0
20010630,0,0.184,0.433,0.353,0.239,1.031,0.185,0.462,0.225,0.549,0.411,1.217,17.773,0.841,1.135,102.958,0
20010930,0,0.242,0.524,0.34,0.285,1.334,0.224,0.462,0.319,0.587,0.464,1.422,12.974,0.766,1.044,100.267,0
20011231,0,0.324,0.544,0.398,0.313,1.549,0.305,0.251,0.479,0.611,0.493,1.572,11.512,0.783,1.062,98.914,0
20020331,0,0.326,0.547,0.368,0.319,1.452,0.314,0.251,0.484,0.607,0.492,1.544,11.689,0.786,1.085,112.582,0
20020630,0,0.319,0.518,0.36,0.307,1.431,0.318,0.251,0.469,0.596,0.474,1.478,12.811,0.795,1.107,117.913,0
20020930,0,0.31,0.494,0.354,0.301,1.373,0.325,0.251,0.45,0.58,0.454,1.382,15.008,0.829,1.159,128.183,0
20021231,0,0.286,0.43,0.396,0.265,1.255,0.314,0.308,0.401,0.56,0.431,1.275,16.493,0.954,1.303,109.501,0
20030331,0,0.291,0.445,0.344,0.278,1.346,0.326,0.308,0.41,0.557,0.428,1.257,16.854,0.912,1.273,124.19,0
20030630,0,0.28,0.42,0.329,0.263,1.294,0.319,0.308,0.389,0.549,0.416,1.219,18.289,0.946,1.313,126.132,0
20030930,0,0.268,0.41,0.314,0.254,1.297,0.303,0.308,0.366,0.547,0.409,1.21,19.488,0.957,1.314,124.493,0
20031231,0,0.209,0.362,0.388,0.224,1.101,0.253,0.275,0.264,0.511,0.372,1.044,22.138,0.989,1.347,110.261,0
20040331,0,0.248,0.38,0.313,0.238,1.263,0.295,0.275,0.33,0.529,0.386,1.122,21.249,1.008,1.375,130.5,0
20040630,0,0.249,0.385,0.308,0.242,1.24,0.297,0.275,0.332,0.528,0.387,1.118,22.047,1.038,1.388,122.546,0
20040930,0,0.254,0.374,0.31,0.238,1.187,0.309,0.275,0.34,0.524,0.384,1.101,22.551,1.073,1.421,113.037,0
