Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19950331,21,0.414,0.432,0.337,0.276,3.001,0.423,0.137,1.743,0.626,0.516,1.672,1.88,1.009,1.364,49.59,3
19950630,21,0.414,0.429,0.332,0.276,2.96,0.427,0.137,1.734,0.623,0.514,1.652,1.933,1.077,1.422,47.446,3
19950930,21,0.404,0.436,0.332,0.276,3.272,0.412,0.137,1.684,0.622,0.514,1.647,1.636,1.078,1.401,45.523,3
19951231,21,0.452,0.557,0.31,0.266,4.814,0.292,0.144,5.289,0.738,0.603,2.824,0.735,0.809,1.023,37.959,4
19960331,21,0.445,0.514,0.316,0.296,4.914,0.376,0.144,2.679,0.681,0.567,2.132,0.951,0.985,1.262,43.176,4
19960630,21,0.485,0.575,0.299,0.317,5.722,0.373,0.144,4.299,0.716,0.606,2.52,0.763,0.942,1.207,43.266,4
19960930,21,0.523,0.623,0.288,0.331,4.841,0.372,0.144,8.883,0.746,0.639,2.944,1.105,0.898,1.151,39.805,4
19961231,21,0.564,0.569,0.306,0.329,4.177,0.436,-0.021,12.225,0.748,0.643,2.968,1.283,1.01,1.271,33.581,4
19970331,21,0.556,0.609,0.304,0.346,3.744,0.421,-0.021,12.593,0.749,0.649,2.976,1.564,0.939,1.213,38.059,4
19970630,21,0.565,0.598,0.324,0.345,3.284,0.436,-0.021,13.932,0.749,0.65,2.978,1.88,0.919,1.197,36.345,4
19970930,21,0.579,0.598,0.332,0.353,3.038,0.455,-0.021,15.7,0.751,0.656,3.019,2.201,0.938,1.22,35.015,4
19971231,21,0.544,0.64,0.335,0.303,2.103,0.328,0.083,0,0.784,0.675,3.637,2.605,0.902,1.12,31.484,4
19980331,21,0.566,0.611,0.341,0.333,2.416,0.404,0.083,15.222,0.764,0.663,3.229,2.995,0.895,1.152,31.851,3
19980630,21,0.545,0.6,0.333,0.311,2.187,0.37,0.083,13.697,0.764,0.657,3.244,3.487,0.902,1.146,28.421,3
19980930,21,0.52,0.575,0.333,0.282,1.957,0.334,0.083,0,0.765,0.648,3.253,4.004,0.915,1.144,26.321,3
19981231,21,0.421,0.442,0.437,0.208,1.202,0.272,0.16,11.394,0.728,0.579,2.677,4.719,0.911,1.091,27.311,3
19990331,21,0.464,0.5,0.388,0.241,1.404,0.302,0.16,4.821,0.741,0.608,2.866,5.622,0.909,1.112,24.14,3
19990630,21,0.434,0.472,0.42,0.226,1.192,0.285,0.16,2.444,0.729,0.589,2.694,6.285,0.9,1.084,22.126,3
19990930,21,0.401,0.427,0.457,0.205,1.022,0.27,0.16,1.32,0.713,0.565,2.48,6.882,0.894,1.065,20.014,3
19991231,21,0.327,0.344,0.503,0.17,0.897,0.241,0.131,0.486,0.668,0.51,2.015,7.311,0.944,1.087,20.843,3
20000331,21,0.324,0.386,0.486,0.186,1.019,0.231,0.131,0.528,0.675,0.522,2.075,7.741,0.89,1.039,19.531,3
20000630,21,0.274,0.366,0.502,0.174,1.134,0.2,0.131,0.378,0.654,0.497,1.891,7.432,0.861,1.009,23.271,3
20000930,21,0.236,0.366,0.514,0.172,1.359,0.174,0.131,0.309,0.64,0.484,1.78,6.994,0.835,0.98,27.094,3
20001231,21,0.197,0.28,0.482,0.133,1.076,0.152,0.119,0.245,0.618,0.424,1.615,6.064,0.805,0.963,27.749,3
20010331,21,0.197,0.318,0.502,0.151,1.355,0.151,0.119,0.245,0.618,0.438,1.62,6.431,0.802,0.962,34.814,3
20010630,21,0.196,0.297,0.484,0.143,1.362,0.154,0.119,0.244,0.613,0.421,1.583,6.063,0.805,0.971,36.625,3
20010930,21,0.2,0.281,0.463,0.139,1.388,0.164,0.119,0.25,0.604,0.396,1.527,5.77,0.817,0.992,41.297,3
20011231,21,0.261,0.289,0.496,0.143,1.936,0.204,0.055,0.353,0.634,0.419,1.731,3.302,0.8,0.949,37.593,3
20020331,21,0.233,0.291,0.468,0.147,2.092,0.193,0.055,0.303,0.611,0.398,1.571,3.388,0.803,0.969,41.493,3
20020630,21,0.246,0.296,0.481,0.152,1.898,0.207,0.055,0.326,0.612,0.396,1.579,4.075,0.799,0.953,41.2,3
20020930,21,0.256,0.291,0.497,0.152,1.693,0.217,0.055,0.344,0.613,0.392,1.582,4.73,0.782,0.922,38.982,3
20021231,21,0.451,0.501,0.491,0.167,1.436,0.184,0.08,0.874,0.818,0.614,4.758,5.264,0.757,0.891,38.152,3
20030331,21,0.346,0.388,0.486,0.175,1.563,0.222,0.08,0.534,0.705,0.477,2.41,6.507,0.797,0.934,39.992,3
20030630,21,0.417,0.451,0.477,0.188,1.632,0.229,0.08,0.722,0.757,0.538,3.147,6.308,0.826,0.966,40.243,3
20030930,21,0.5,0.526,0.469,0.201,1.657,0.236,0.08,1.014,0.809,0.608,4.299,6.497,0.864,1.003,41.122,3
20031231,21,0.421,0.429,0.455,0.195,1.652,0.26,0.131,0.751,0.736,0.531,2.889,5.086,0.983,1.1,37.608,3
20040331,21,0.448,0.474,0.459,0.2,1.742,0.246,0.131,0.819,0.767,0.557,3.323,5.781,0.933,1.058,39.914,3
20040630,21,0.416,0.457,0.444,0.198,2.021,0.241,0.131,0.718,0.747,0.532,2.98,4.905,0.942,1.061,39.28,3
20040930,21,0.387,0.442,0.437,0.196,2.359,0.235,0.131,0.637,0.729,0.51,2.706,4.155,0.96,1.076,39.539,3
20041231,21,0.368,0.43,0.47,0.187,3.347,0.22,0.115,0.596,0.725,0.505,2.706,2.081,1.088,1.195,43.94,3
20050331,21,0.372,0.423,0.455,0.188,4.827,0.229,0.115,0.597,0.721,0.489,2.607,0.813,1.041,1.157,47.19,3
20050630,21,0.346,0.424,0.477,0.181,6.073,0.205,0.115,0.531,0.721,0.482,2.597,-0.438,1.042,1.155,49.449,3
20050930,21,0.434,0.514,0.507,0.197,15.048,0.212,0.115,0.561,0.783,0.567,3.638,-2.43,1.062,1.177,51.835,3
20051231,21,1.032,1.108,0.516,0.279,13.565,0.258,0.069,0,1.008,1.021,-124.59,-2.038,1.08,1.187,49.369,3
20060331,21,0.576,0.674,0.502,0.23,12.041,0.229,0.069,0.638,0.856,0.691,5.93,-2.248,1.071,1.178,49.217,3
20060630,21,0.636,0.671,0.499,0.241,10.872,0.263,0.069,0.816,0.869,0.718,6.657,-1.942,1.117,1.224,50.044,4
20060930,21,0.533,0.555,0.487,0.223,6.293,0.265,0.069,0.85,0.812,0.621,4.323,-0.997,1.121,1.223,50.61,4
20061231,21,1.065,1.067,0.52,0.26,4.899,0.256,0.007,0,1.016,1.044,-63.896,-0.447,1.068,1.159,49.543,4
20070331,21,0.651,0.653,0.521,0.233,3.747,0.265,0.007,0.904,0.875,0.722,7.023,0.396,1.087,1.187,53.53,4
20070630,21,0.791,0.831,0.531,0.25,2.95,0.253,0.007,0.886,0.937,0.846,14.926,1.428,1.038,1.137,53.471,4
20070930,21,1.016,1.124,0.543,0.269,2.631,0.243,0.007,73.019,1.004,1.01,-266.71,2.102,0.991,1.09,51.992,4
20071231,21,0.743,0.886,0.479,0.305,2.864,0.281,0.046,2.887,0.911,0.821,10.285,2.391,1.077,1.167,48.025,4
20080331,21,0.84,0.974,0.532,0.284,2.412,0.257,0.046,3.923,0.953,0.892,20.402,2.858,0.988,1.087,49.314,4
20080630,21,0.782,0.862,0.535,0.287,2.422,0.28,0.046,3.597,0.928,0.843,12.832,2.775,1.022,1.124,48.154,4
20080930,21,0.74,0.778,0.522,0.292,2.453,0.308,0.046,2.85,0.902,0.8,9.25,2.612,1.064,1.166,45.761,4
20081231,21,0,0,0.5,0.376,2.657,0.248,0.06,0,1.515,-99.297,-2.942,1.528,1.054,1.149,41.867,4
20090331,21,2.152,2.32,0.516,0.332,2.789,0.264,0.06,2.556,1.165,1.603,-6.995,1.565,1,1.096,40.811,4
20090630,21,19216.5,21220.5,0.502,0.361,2.656,0.246,0.06,2.528,1.327,3.285,-4.009,1.883,0.985,1.077,38.917,4
20090930,21,0,0,0.501,0.374,2.219,0.223,0.06,0,1.491,-102.11,-2.994,2.624,0.982,1.071,39.182,4
