Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19950331,2,0.33,0.395,0.355,0.153,0.966,0.173,0.125,0.431,0.74,0.507,2.853,8.136,0.861,1.379,62.995,1
19950630,2,0.308,0.399,0.363,0.154,0.966,0.163,0.125,0.39,0.732,0.498,2.73,8.065,0.844,1.357,64.838,1
19950930,2,0.295,0.411,0.369,0.16,0.993,0.159,0.125,0.366,0.725,0.493,2.636,7.915,0.824,1.344,67.912,1
19951231,2,0.276,0.405,0.358,0.161,1.049,0.154,0.137,0.33,0.712,0.486,2.47,6.899,0.762,1.285,61.45,1
19960331,2,0.277,0.427,0.36,0.169,1.047,0.153,0.137,0.334,0.714,0.49,2.498,7.655,0.786,1.313,67.594,1
19960630,2,0.271,0.427,0.344,0.17,1.06,0.152,0.137,0.325,0.709,0.483,2.439,7.775,0.844,1.365,71.599,1
19960930,2,0.261,0.42,0.324,0.169,1.05,0.15,0.137,0.309,0.703,0.473,2.363,7.83,0.9,1.414,73.355,1
19961231,2,0.24,0.351,0.284,0.151,0.923,0.152,0.138,0.275,0.674,0.427,2.069,7.134,1.053,1.58,68.6,1
19970331,2,0.243,0.388,0.29,0.162,1.006,0.148,0.138,0.282,0.684,0.442,2.166,8.331,1.045,1.569,79.034,1
19970630,2,0.235,0.373,0.282,0.159,0.968,0.149,0.138,0.269,0.674,0.433,2.068,8.988,1.034,1.587,75.936,1
19970930,2,0.231,0.373,0.29,0.161,0.961,0.15,0.138,0.264,0.667,0.432,2.006,9.133,0.965,1.53,74.097,1
19971231,2,0.217,0.412,0.338,0.168,1.023,0.13,0.14,0.239,0.68,0.454,2.125,8.403,0.784,1.256,70.59,1
19980331,2,0.231,0.378,0.323,0.165,0.941,0.152,0.14,0.264,0.664,0.436,1.973,10.353,0.836,1.396,74.472,1
19980630,2,0.238,0.382,0.338,0.17,0.952,0.16,0.14,0.276,0.661,0.441,1.95,11.344,0.781,1.347,75.01,1
19980930,2,0.237,0.374,0.341,0.169,0.93,0.163,0.14,0.273,0.656,0.435,1.905,12.831,0.763,1.34,76.764,1
19981231,2,0.218,0.515,0.356,0.224,1.356,0.144,0.116,0.242,0.66,0.481,1.938,10.492,0.629,1.079,74.623,1
19990331,2,0.228,0.454,0.337,0.204,1.04,0.157,0.116,0.259,0.653,0.46,1.878,11.015,0.671,1.195,70.082,1
19990630,2,0.221,0.456,0.337,0.204,0.927,0.152,0.116,0.247,0.65,0.458,1.859,11.009,0.672,1.187,62.635,1
19990930,2,0.212,0.474,0.341,0.211,0.858,0.146,0.116,0.234,0.649,0.462,1.85,11.476,0.68,1.168,56.464,1
19991231,2,0.222,0.458,0.374,0.215,1.22,0.165,0.159,0.26,0.635,0.456,1.736,11.397,0.845,1.26,69.546,1
20000331,2,0.237,0.464,0.371,0.22,0.979,0.176,0.159,0.277,0.638,0.461,1.765,11.274,0.769,1.234,70.555,1
20000630,2,0.248,0.476,0.386,0.232,1.127,0.191,0.159,0.298,0.633,0.466,1.722,9.59,0.771,1.222,80.537,1
20000930,2,0.271,0.49,0.389,0.246,1.318,0.215,0.159,0.339,0.634,0.478,1.731,8.338,0.805,1.254,91.162,1
20001231,2,0.289,0.412,0.434,0.223,1.216,0.255,0.129,0.362,0.614,0.451,1.593,7.302,0.96,1.478,90.429,1
20010331,2,0.289,0.454,0.404,0.241,1.362,0.246,0.129,0.365,0.622,0.467,1.647,7.258,0.878,1.374,94.285,1
20010630,2,0.289,0.442,0.402,0.235,1.412,0.247,0.129,0.364,0.622,0.461,1.642,7.154,0.904,1.405,95.821,1
20010930,2,0.281,0.419,0.404,0.221,1.445,0.239,0.129,0.35,0.62,0.449,1.633,6.79,0.882,1.383,96.813,1
20011231,2,0.34,0.379,0.366,0.218,1.518,0.314,0.133,0.471,0.621,0.437,1.642,6.512,1.051,1.591,93.862,1
20020331,2,0.305,0.398,0.375,0.217,1.544,0.268,0.133,0.397,0.621,0.439,1.637,6.848,0.93,1.438,95.2,1
20020630,2,0.317,0.38,0.362,0.214,1.575,0.291,0.133,0.422,0.615,0.43,1.595,6.997,1.006,1.525,93.374,1
20020930,2,0.325,0.354,0.354,0.21,1.538,0.321,0.133,0.44,0.6,0.415,1.5,7.357,1.137,1.691,90.22,1
20021231,2,0.346,0.373,0.32,0.185,1.572,0.253,0.128,0.505,0.676,0.44,2.088,6.871,1.102,1.551,84.733,1
20030331,2,0.328,0.353,0.331,0.193,1.667,0.285,0.128,0.457,0.632,0.419,1.717,7.053,1.164,1.662,81.738,1
20030630,2,0.334,0.359,0.318,0.19,1.811,0.273,0.128,0.474,0.648,0.426,1.838,6.544,1.174,1.653,77.856,1
20030930,2,0.34,0.366,0.306,0.186,1.905,0.261,0.128,0.492,0.664,0.434,1.977,6.393,1.175,1.623,74.128,1
20031231,2,0.316,0.329,0.316,0.176,1.807,0.267,0.118,0.449,0.634,0.408,1.735,6.269,1.266,1.699,72.915,1
20040331,2,0.327,0.349,0.31,0.184,1.868,0.267,0.118,0.467,0.645,0.422,1.82,6.663,1.244,1.685,71.326,1
20040630,2,0.318,0.339,0.316,0.18,1.789,0.264,0.118,0.452,0.639,0.414,1.768,6.97,1.26,1.693,70.361,1
20040930,2,0.31,0.33,0.324,0.176,1.745,0.261,0.118,0.436,0.632,0.408,1.72,7.085,1.267,1.695,70.391,1
20041231,2,0.266,0.344,0.331,0.17,1.76,0.205,0.114,0.349,0.638,0.411,1.761,6.722,1.105,1.467,68.453,1
20050331,2,0.284,0.328,0.319,0.164,1.654,0.221,0.114,0.384,0.643,0.399,1.798,7.29,1.142,1.507,74.766,1
20050630,2,0.273,0.339,0.327,0.165,1.633,0.206,0.114,0.362,0.646,0.404,1.825,7.573,1.074,1.424,75.237,1
20050930,2,0.262,0.348,0.338,0.165,1.595,0.19,0.114,0.341,0.651,0.408,1.863,7.927,1.005,1.34,76.476,1
20051231,2,0.215,0.356,0.419,0.158,1.44,0.146,0.116,0.262,0.652,0.415,1.87,7.635,0.821,1.147,71.03,1
20060331,2,0.251,0.358,0.394,0.167,1.471,0.179,0.116,0.322,0.651,0.421,1.869,8.412,0.901,1.248,73.851,1
20060630,2,0.251,0.362,0.417,0.167,1.377,0.176,0.116,0.322,0.655,0.427,1.902,8.776,0.865,1.215,73.911,1
20060930,2,0.251,0.363,0.437,0.166,1.307,0.174,0.116,0.321,0.657,0.432,1.917,8.936,0.848,1.203,73.158,1
20061231,2,0.287,0.371,0.467,0.164,1.167,0.184,0.151,0.388,0.686,0.469,2.183,8.949,0.86,1.214,67.263,1
20070331,2,0.285,0.385,0.458,0.174,1.216,0.191,0.151,0.383,0.677,0.464,2.093,9.68,0.858,1.219,69.821,1
20070630,2,0.309,0.437,0.463,0.19,1.277,0.192,0.151,0.428,0.7,0.5,2.332,9.538,0.832,1.179,68.666,1
20070930,2,0.346,0.495,0.467,0.209,1.361,0.201,0.151,0.505,0.725,0.54,2.63,9.143,0.816,1.151,67.557,1
20071231,2,0.37,0.523,0.467,0.227,1.5,0.22,0.159,0.544,0.727,0.558,2.666,8.927,0.823,1.146,63.758,1
20080331,2,0.385,0.548,0.463,0.233,1.466,0.222,0.159,0.583,0.738,0.572,2.822,8.974,0.827,1.156,66.563,1
20080630,2,0.391,0.523,0.461,0.232,1.461,0.237,0.159,0.588,0.73,0.563,2.704,9.197,0.874,1.209,65.555,1
20080930,2,0.388,0.529,0.458,0.234,1.507,0.236,0.159,0.573,0.729,0.563,2.689,9.453,0.871,1.199,65.207,1
20081231,2,0.449,0.642,0.462,0.236,1.538,0.207,0.134,0.744,0.797,0.628,3.938,9.421,0.766,1.079,62.303,1
20090331,2,0.417,0.584,0.457,0.24,1.703,0.226,0.134,0.644,0.76,0.592,3.175,8.626,0.831,1.152,68.408,1
20090630,2,0.426,0.607,0.457,0.244,1.803,0.223,0.134,0.677,0.769,0.6,3.351,7.971,0.825,1.145,73.277,1
20090930,2,0.429,0.586,0.458,0.239,1.784,0.228,0.134,0.696,0.767,0.59,3.314,7.87,0.858,1.185,77.351,1
20091231,2,0.411,0.5,0.45,0.211,1.578,0.231,0.146,0.665,0.751,0.56,3.059,8.143,0.941,1.25,72.298,1
20100331,2,0.408,0.523,0.451,0.224,1.614,0.234,0.146,0.652,0.747,0.56,2.982,8.601,0.942,1.262,77.295,1
20100630,2,0.405,0.5,0.445,0.215,1.543,0.233,0.146,0.645,0.744,0.553,2.948,9.29,0.976,1.298,74.455,1
