Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19980630,5,0.508,0.542,0.201,0.478,9.693,0.79,0.234,1.032,0.566,0.557,1.306,0,2.697,3.808,103.173,3
19980930,5,0.595,0.605,0.208,0.544,5.639,0.842,0.092,1.471,0.636,0.629,1.747,0,2.948,4.218,100.644,3
19981231,5,0.6,0.61,0.167,0.555,6.64,0.859,0.092,1.501,0.636,0.63,1.748,0,3.503,4.828,87.583,3
19990331,5,0.59,0.6,0.162,0.541,6.133,0.844,0.092,1.438,0.63,0.624,1.704,0,3.337,4.461,69.314,3
19990630,5,0.575,0.584,0.181,0.527,5.117,0.841,0.092,1.351,0.616,0.61,1.606,0,3.692,4.723,62.761,3
19990930,5,0.546,0.555,0.152,0.513,2.765,0.869,0.293,1.201,0.58,0.574,1.383,0,6.369,7.551,79.382,3
19991231,5,0.549,0.556,0.18,0.507,3.741,0.85,0.293,1.215,0.589,0.583,1.431,0,5.085,6.057,58.399,3
20000331,5,0.534,0.539,0.179,0.493,3.823,0.85,0.293,1.148,0.575,0.569,1.35,0,5.481,6.49,60.355,3
20000630,5,0.509,0.511,0.202,0.468,3.492,0.845,0.293,1.036,0.551,0.545,1.225,0,5.488,6.602,71.79,3
20000930,5,0.411,0.411,0.19,0.376,2.028,0.812,0.349,0.699,0.463,0.455,0.861,0,4.871,6.152,78.199,3
20001231,5,0.445,0.445,0.219,0.404,6.531,0.816,0.349,0.801,0.495,0.488,0.982,0,4.699,5.955,95.262,3
20010331,5,0.417,0.417,0.221,0.38,5.86,0.812,0.349,0.715,0.468,0.46,0.88,0,4.876,6.356,114.402,3
20010630,5,0.408,0.408,0.177,0.375,5.697,0.82,0.349,0.69,0.457,0.448,0.841,0,5.581,7.34,125.04,3
20010930,5,0.385,0.385,0.08,0.359,2.088,0.841,0.346,0.626,0.427,0.417,0.745,0,9.184,11.367,102.378,3
20011231,5,0.394,0.394,0.115,0.365,2.927,0.829,0.346,0.651,0.44,0.431,0.785,0,7.358,9.52,124.042,3
20020331,5,0.381,0.381,0.121,0.352,2.479,0.824,0.346,0.615,0.428,0.418,0.747,0,7.974,10.088,119.169,3
20020630,5,0.367,0.367,0.14,0.339,2.428,0.816,0.346,0.581,0.416,0.406,0.711,0,8.404,10.372,116.644,3
20020930,5,0.339,0.339,0.081,0.308,1.791,0.769,0.318,0.513,0.4,0.371,0.666,0,12.217,14.519,108.122,3
20021231,5,0.344,0.344,0.145,0.315,2.239,0.787,0.318,0.524,0.4,0.38,0.666,0,9.785,11.799,117.844,3
20030331,5,0.277,0.277,0.133,0.25,1.572,0.725,0.318,0.382,0.345,0.317,0.527,0,9.005,11.086,110.542,3
20030630,5,0.199,0.199,0.137,0.179,1.141,0.637,0.318,0.249,0.28,0.242,0.39,0,8.52,10.906,121.629,3
20030930,5,0,0,0.183,0,0,0,1.334,0,0.131,0.083,0.15,0,4.646,6.358,122.059,3
20031231,5,0,0,0.194,0,0,0,1.334,0,0.126,0.068,0.144,0,4.461,6.557,147.94,4
20040331,5,0,0,0.181,0,0,0,1.334,0,0.139,0.085,0.162,0,3.886,5.64,133.578,4
20040630,5,0,0,0.167,0,0,0,1.334,0,0.153,0.1,0.18,0,3.54,5.085,114.914,4
20040930,5,0,0,0.296,0,0,0,0.088,0,0.157,0.05,0.187,0,4.047,5.412,157.607,4
20050930,5,0,0.01,0.191,0.007,0.1,0,0.475,0,0.351,0.074,0.54,4.956,3.138,3.972,129.418,4
20051231,5,0.254,0.261,0.265,0.188,2.838,0.397,0.475,0.34,0.461,0.313,0.856,0.91,2.298,3.476,196.732,4
20060331,5,0.417,0.44,0.293,0.312,3.575,0.505,0.475,0.715,0.586,0.473,1.417,1.011,1.603,2.65,184.09,4
20060630,5,0.517,0.547,0.293,0.398,3.387,0.579,0.475,1.07,0.649,0.565,1.847,1.164,1.307,2.273,156.539,4
20060930,5,0.576,0.633,0.349,0.448,4,0.583,0.057,1.36,0.7,0.622,2.331,0.583,0.856,1.761,139.161,4
20061231,5,0.584,0.626,0.298,0.454,3.098,0.607,0.057,1.405,0.698,0.629,2.315,0.891,0.898,1.936,171.783,4
20070331,5,0.587,0.616,0.262,0.451,2.815,0.616,0.057,1.421,0.697,0.625,2.305,1.202,0.887,2.094,190.389,4
20070630,5,0.588,0.608,0.235,0.442,2.754,0.61,0.057,1.427,0.701,0.621,2.34,1.405,0.827,2.078,212.995,4
20070930,5,0.593,0.595,0.257,0.444,2.554,0.635,0.139,1.458,0.697,0.616,2.295,1.989,1.404,2.698,169.087,4
20071231,5,0.596,0.598,0.19,0.439,2.415,0.623,0.139,1.477,0.703,0.62,2.37,2.341,1.175,2.501,173.592,4
20080331,5,0.592,0.593,0.201,0.431,2.48,0.611,0.139,1.452,0.704,0.618,2.375,2.373,1.326,2.558,162.754,4
20080630,5,0.589,0.59,0.194,0.425,2.629,0.603,0.139,1.431,0.703,0.615,2.372,2.257,1.411,2.617,169.028,4
20080930,5,0.57,0.572,0.274,0.439,2.671,0.654,0.121,1.327,0.67,0.593,2.03,2.303,2.282,3.669,150.163,4
