Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19961231,1,0.27,0.272,0.441,0.243,4.024,0.696,0.116,0.371,0.347,0.294,0.532,4.04,1.202,1.202,9.487,2
19970331,1,0.345,0.346,0.636,0.304,3.078,0.714,0.116,0.523,0.424,0.364,0.736,3.357,0.996,0.996,17.548,2
19970630,1,0.299,0.3,0.625,0.268,3.018,0.711,0.116,0.426,0.375,0.319,0.6,2.893,1.008,1.008,14.266,2
19970930,1,0.274,0.275,0.622,0.247,2.918,0.708,0.116,0.377,0.348,0.294,0.533,2.66,0.984,0.984,11.085,2
19971231,1,0.326,0.326,0.716,0.292,3.238,0.735,0.148,0.484,0.397,0.341,0.657,3.436,0.822,0.822,4.395,2
19980331,1,0.315,0.316,0.725,0.283,2.714,0.733,0.148,0.46,0.386,0.33,0.628,3.167,0.894,0.894,18.287,2
19980630,1,0.339,0.34,0.737,0.304,2.705,0.741,0.148,0.514,0.409,0.353,0.693,3.746,0.904,0.904,22.547,2
19980930,1,0.308,0.341,0.729,0.285,3.474,0.61,0.148,0.453,0.423,0.354,0.759,4.072,0.711,0.711,35.257,2
19981231,1,0.257,0.329,0.491,0.25,4.361,0.447,0.108,0.351,0.436,0.341,0.837,4.198,0.664,0.664,18.673,2
19990331,1,0.262,0.334,0.594,0.258,2.654,0.47,0.108,0.359,0.43,0.342,0.804,4.559,0.631,0.631,22.974,2
19990630,1,0.241,0.322,0.579,0.244,2.341,0.429,0.108,0.319,0.425,0.33,0.789,5.141,0.61,0.61,18.242,1
19990930,1,0.229,0.307,0.539,0.231,1.798,0.408,0.108,0.294,0.421,0.317,0.771,6.135,0.613,0.613,9.397,1
19991231,1,0.205,0.279,0.557,0.207,1.544,0.373,0.296,0.247,0.408,0.295,0.726,7.658,0.6,0.6,4.815,1
20000331,1,0.21,0.285,0.555,0.213,1.625,0.385,0.296,0.257,0.409,0.297,0.727,9.151,0.613,0.613,4.684,1
20000630,1,0.22,0.283,0.558,0.214,1.774,0.407,0.296,0.27,0.409,0.298,0.729,10.472,0.67,0.67,7.334,1
20000930,1,0.23,0.292,0.56,0.223,2.092,0.425,0.296,0.285,0.413,0.306,0.74,11.192,0.706,0.706,13.892,1
20001231,1,0.184,0.289,0.728,0.229,2.25,0.412,0.176,0.225,0.353,0.305,0.573,5.382,0.638,0.638,0,2
20010331,1,0.218,0.297,0.636,0.233,2.522,0.441,0.176,0.272,0.388,0.311,0.666,7.101,0.716,0.716,0,2
20010630,1,0.229,0.31,0.567,0.249,2.712,0.483,0.176,0.291,0.381,0.321,0.642,5.004,0.813,0.813,0,2
20010930,1,0.243,0.312,0.561,0.26,2.846,0.547,0.176,0.317,0.369,0.326,0.609,3.387,0.9,0.9,0,2
20011231,1,0.298,0.3,0.567,0.269,3.056,0.718,0.187,0.417,0.372,0.331,0.615,2.595,1.383,1.383,0,2
20020331,1,0.296,0.313,0.473,0.277,3.478,0.693,0.187,0.412,0.378,0.336,0.628,1.755,1.392,1.392,0,4
20040930,1,3.29,3.535,0.29,0.275,3.787,0.394,0.223,0.768,0.678,0.522,2.267,-1.284,1.487,1.487,27.272,4
20041231,1,0.583,0.585,0.314,0.348,2.782,0.461,0.015,1.391,0.752,0.614,3.033,0.486,1.466,1.466,29.47,4
20050331,1,0.532,0.534,0.275,0.309,2.576,0.421,0.015,1.021,0.729,0.565,2.694,1.36,1.529,1.529,29.417,4
20050630,1,0.581,0.584,0.303,0.348,2.855,0.462,0.015,1.301,0.75,0.61,3.002,1.33,1.553,1.553,31.589,4
19950331,4,0.386,0.554,0.803,0.297,1.273,0.308,0.247,0.523,0.671,0.519,2.043,6.231,0.506,0.543,12.102,0
19950630,4,0.398,0.558,0.804,0.302,1.229,0.32,0.247,0.564,0.674,0.528,2.066,6.302,0.542,0.582,12.447,0
19950930,4,0.409,0.567,0.785,0.31,1.205,0.329,0.247,0.607,0.677,0.538,2.097,6.443,0.581,0.619,12.448,0
19951231,4,0.392,0.577,0.804,0.303,1.265,0.302,0.238,0.564,0.68,0.546,2.128,6.485,0.564,0.599,3.514,0
19960331,4,0.392,0.58,0.792,0.311,1.219,0.311,0.238,0.567,0.675,0.538,2.072,6.62,0.577,0.612,14.051,0
19960630,4,0.382,0.609,0.788,0.317,1.254,0.294,0.238,0.544,0.678,0.545,2.102,6.731,0.556,0.588,14.921,0
19960930,4,0.375,0.64,0.8,0.327,1.293,0.281,0.238,0.529,0.681,0.554,2.137,6.776,0.529,0.561,16.706,0
19961231,4,0.366,0.626,0.808,0.32,1.327,0.277,0.234,0.507,0.676,0.551,2.084,6.819,0.522,0.556,8.146,0
19970331,4,0.362,0.637,0.804,0.324,1.265,0.272,0.234,0.5,0.676,0.549,2.086,6.983,0.525,0.556,16.532,0
19970630,4,0.356,0.613,0.799,0.313,1.205,0.27,0.234,0.485,0.671,0.539,2.043,7.235,0.533,0.565,14.197,0
19970930,4,0.348,0.603,0.758,0.306,1.172,0.264,0.234,0.469,0.669,0.535,2.023,7.513,0.546,0.58,10.626,0
19971231,4,0.357,0.592,0.781,0.302,1.237,0.271,0.265,0.48,0.672,0.536,2.05,7.659,0.588,0.628,14.74,0
19980331,4,0.376,0.611,0.74,0.316,1.229,0.287,0.265,0.525,0.677,0.546,2.093,7.144,0.553,0.592,11.545,0
19980630,4,0.394,0.581,0.736,0.313,1.247,0.315,0.265,0.568,0.673,0.541,2.062,7.06,0.598,0.643,15.172,0
19980930,4,0.405,0.538,0.755,0.304,1.239,0.344,0.265,0.595,0.664,0.526,1.975,7.029,0.645,0.694,19.276,0
19981231,4,0.338,0.497,0.778,0.27,1.207,0.286,0.248,0.444,0.64,0.481,1.78,7.033,0.598,0.641,23.559,0
19990331,4,0.37,0.473,0.731,0.27,1.12,0.329,0.248,0.514,0.641,0.483,1.788,7.716,0.673,0.722,21.095,0
19950331,6,0.378,0.778,0.752,0.308,1.905,0.199,0.149,0.548,0.753,0.622,3.229,5.922,1.122,1.263,125.877,0
19950630,6,0.383,0.78,0.751,0.315,1.905,0.206,0.149,0.544,0.751,0.622,3.195,5.922,1.113,1.254,144.361,0
19950930,6,0.383,0.78,0.736,0.318,1.905,0.208,0.149,0.536,0.749,0.621,3.151,5.922,1.124,1.264,162.423,0
19951231,6,0.393,0.952,0.741,0.318,1.887,0.164,0.137,0.513,0.797,0.671,4.103,5.298,0.9,1.003,108.406,0
19960331,6,0.369,0.804,0.748,0.318,1.887,0.195,0.137,0.485,0.75,0.62,3.122,5.298,1.024,1.132,166.264,0
19960630,6,0.339,0.724,0.765,0.299,1.887,0.192,0.137,0.419,0.727,0.585,2.723,5.298,1.017,1.097,135.113,0
19960930,6,0.31,0.604,0.811,0.266,1.887,0.196,0.137,0.364,0.696,0.538,2.314,5.298,1.02,1.064,103.717,0
19961231,6,0.28,0.367,0.877,0.186,0.866,0.224,0.195,0.314,0.635,0.449,1.737,10.013,1.122,1.122,90.664,0
19970331,6,0.272,0.378,0.858,0.195,0.866,0.226,0.195,0.306,0.624,0.439,1.657,10.013,1.163,1.163,59.984,0
19970630,6,0.27,0.365,0.864,0.188,0.866,0.223,0.195,0.3,0.624,0.437,1.657,10.013,1.144,1.144,48.965,0
19970930,6,0.262,0.353,0.874,0.182,0.866,0.218,0.195,0.288,0.62,0.431,1.63,10.013,1.129,1.129,39.397,0
19971231,6,0.232,0.367,0.881,0.185,1.003,0.19,0.232,0.241,0.614,0.43,1.589,15.658,0.955,0.955,19.376,0
19980331,6,0.235,0.346,0.876,0.177,0.887,0.198,0.232,0.248,0.608,0.418,1.549,21.597,1.045,1.045,20.055,0
19980630,6,0.222,0.313,0.768,0.161,0.745,0.19,0.232,0.232,0.6,0.398,1.502,23.275,1.094,1.094,8.531,0
19980930,6,0.212,0.287,0.7,0.148,0.621,0.184,0.232,0.22,0.594,0.381,1.462,23.99,1.081,1.081,19.376,0
19981231,6,0.179,0.216,0.641,0.113,0.45,0.163,0.303,0.179,0.571,0.337,1.333,16.54,0.914,0.914,0,0
19990331,6,0.239,0.282,0.598,0.175,0.84,0.281,0.303,0.272,0.528,0.35,1.141,20.273,0.967,0.967,0,0
19990630,6,0.257,0.31,0.677,0.208,1.184,0.344,0.303,0.304,0.501,0.354,1.033,12.765,0.785,0.785,0,0
19990930,6,0.265,0.33,0.733,0.225,1.514,0.363,0.303,0.308,0.499,0.358,1.026,9.377,0.667,0.667,0,0
19991231,6,0.256,0.371,0.753,0.239,2.048,0.317,0.132,0.271,0.52,0.375,1.116,6.038,0.492,0.492,0,0
20000331,6,0.263,0.364,0.786,0.241,1.945,0.34,0.132,0.289,0.512,0.371,1.081,6.021,0.514,0.514,0,0
20000630,6,0.254,0.385,0.794,0.245,2.27,0.308,0.132,0.264,0.525,0.378,1.141,5.931,0.443,0.443,0,0
20000930,6,0.242,0.406,0.779,0.254,2.634,0.287,0.132,0.25,0.526,0.385,1.163,4.826,0.378,0.378,0,1
20001231,6,0.259,0.478,0.752,0.288,3.233,0.282,0.099,0.27,0.554,0.425,1.3,3.247,0.336,0.336,0,1
20010331,6,0.249,0.425,0.769,0.265,3.382,0.293,0.099,0.262,0.532,0.393,1.192,2.951,0.355,0.355,0,1
20010630,6,0.247,0.416,0.661,0.265,3.498,0.303,0.099,0.268,0.52,0.386,1.136,2.363,0.416,0.416,4.138,1
20010930,6,0.267,0.431,0.629,0.273,3.489,0.316,0.099,0.298,0.536,0.4,1.205,2.095,0.476,0.476,4.86,2
20011231,6,0.45,0.579,0.416,0.352,3.726,0.411,0.14,0.567,0.666,0.549,2.129,1.938,0.886,0.886,0,2
20020331,6,0.35,0.484,0.513,0.303,3.735,0.371,0.14,0.414,0.592,0.458,1.524,2.282,0.694,0.694,4.27,2
20020630,6,0.429,0.553,0.518,0.336,3.925,0.4,0.14,0.528,0.653,0.526,1.985,2.672,0.739,0.739,0.828,2
20020930,6,0.466,0.568,0.47,0.353,4.45,0.434,0.14,0.588,0.667,0.547,2.102,3.08,0.855,0.855,0,2
20021231,6,0.604,0.725,0.343,0.408,2.112,0.438,0.112,1.103,0.777,0.682,3.489,4.004,1.323,1.323,0,2
20030331,6,0.505,0.626,0.409,0.376,3.504,0.431,0.112,0.687,0.703,0.59,2.425,3.854,0.96,0.96,0,2
20030630,6,0.514,0.644,0.393,0.372,2.813,0.412,0.112,0.726,0.719,0.605,2.607,3.599,1.033,1.033,0,2
20030930,6,0.532,0.683,0.376,0.364,2.053,0.379,0.112,0.819,0.75,0.633,3.001,3.397,1.123,1.123,0,2
20031231,6,0.484,0.533,0.41,0.3,1.651,0.384,0.251,0.675,0.709,0.559,2.439,3.332,1.109,1.109,0,2
20040331,6,0.472,0.589,0.394,0.314,1.885,0.35,0.251,0.642,0.718,0.575,2.548,3.019,1.057,1.057,0,2
20040630,6,0.445,0.547,0.399,0.292,1.841,0.337,0.251,0.577,0.704,0.548,2.381,2.623,1.039,1.039,0,3
20040930,6,0.457,0.537,0.421,0.284,1.67,0.339,0.251,0.619,0.713,0.552,2.479,3.275,1.011,1.011,0,3
