Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number,Sector Number
20071231,92,0.346,0.351,0.297,0.275,2.782,0.558,0.166,0.624,0.487,0.37,0.955,7.152,2.858,3.834,139.906,3,3
20020930,31,0.759,0.831,0.104,0.628,-7.663,0.701,-0.163,3.15,0.818,0.782,4.495,-1.319,0.738,2.221,220.25,4,7
20101231,17,0.8,0.866,0.141,0.181,1.995,0.175,0.045,4.148,0.958,0.879,23.754,6.786,0.459,1.146,129.452,1,5
20040331,3,0.439,0.483,0.189,0.276,1.794,0.369,0.134,0.784,0.68,0.487,2.122,13.072,1.433,1.765,198.255,1,4
20040331,40,0.421,0.432,0.678,0.193,2.106,0.254,0.097,0.744,0.741,0.694,3.024,18.31,0.845,0.92,0,1,1
20060630,39,0.355,0.401,0.455,0.232,1.534,0.326,0.154,0.553,0.628,0.477,1.835,7.754,1.16,1.727,78.809,1,7
19951231,90,0.566,0.597,0.715,0.375,1.903,0.49,0.191,1.178,0.727,0.64,3.136,3.551,0.888,0.924,2.002,1,8
20060630,144,0.386,0.386,0.281,0.223,2.055,0.347,0.253,0.471,0.645,0.423,1.814,3.659,0.75,0.837,0,3,3
20081231,144,0.449,0.449,0.563,0.323,2.544,0.537,0.186,0.586,0.603,0.481,1.541,3.476,0.59,0.701,0,3,3
20010131,68,0.727,0.756,0.127,0.47,2.413,0.544,0.151,2.46,0.83,0.789,4.889,3.754,0.241,0.969,15.521,2,2
20020131,80,0.195,0.195,0,0.142,0.776,0.339,0.3,0.238,0.417,0.285,0.716,9.032,0.671,2.705,126.869,3,1
20010630,132,0.002,0.003,0.326,0.003,0.011,0.007,0.901,0.002,0.207,0.057,0.262,159.387,2.48,2.998,130.032,2,6
20010731,37,0.548,1.2,0,0.538,8.722,0.308,0.067,1.204,0.797,0.763,3.935,1.694,0,0,312.343,1,5
20041231,165,0.262,0.262,0.585,0.174,1.155,0.339,0.197,0.311,0.512,0.31,1.05,5.358,1.67,1.922,0,2,5
20021031,57,0.143,0.185,0.33,0.111,1.905,0.175,0.158,0.166,0.487,0.29,0.95,0,1.245,1.484,60.822,1,6
20130630,47,0.788,1.224,0,0.551,7.409,0.392,0.052,3.662,0.904,0.874,9.662,2.35,0,0,177.405,2,1
20121231,143,0.031,0.117,0.178,0.083,0.387,0.069,0.631,0.029,0.314,0.147,0.457,49.644,2.255,2.639,101.305,2,6
20140630,42,1.585,1.626,0.265,0.216,4.43,0.266,-0.26,1.125,0.806,0.619,4.303,-0.648,1.787,2.264,117.241,4,6
20050930,118,0.114,0.149,0.36,0.118,1.205,0.302,0.29,0.127,0.299,0.179,0.427,12.659,1.503,2.062,140.4,2,4
19990930,25,0.281,0.298,0.321,0.165,0.813,0.258,0.072,0.39,0.602,0.536,1.51,10.298,0.728,1.74,31.98,1,4
20040630,165,0.273,0.273,0.611,0.182,1.15,0.351,0.226,0.329,0.517,0.317,1.07,5.395,1.523,1.781,0,2,5
20110331,151,0.361,0.464,0.631,0.315,1.414,0.433,0.239,0.552,0.566,0.458,1.357,14.319,0.907,0.997,31.332,2,4
19990630,163,0.822,0.823,0.363,0.68,78.243,0.796,-0.033,12.62,0.853,0.838,5.863,-1.012,0.976,1.038,0,4,8
20061231,147,0.536,0.594,0.584,0.404,2.44,0.531,0.18,0.988,0.685,0.592,2.267,3.684,0.943,0.974,26.985,2,5
19990131,148,0.181,0.181,0.391,0.074,0.238,0.112,0.535,0.221,0.662,0.556,1.963,78.692,1.642,1.716,0,2,6
20000430,127,0.226,0.481,0.045,0.251,2.722,0.197,0.078,0.291,0.596,0.467,1.476,1.75,0.416,1.245,67.195,3,1
19960331,35,0.344,0.384,0.52,0.269,2.569,0.446,0.217,0.691,0.54,0.461,1.532,7.694,1.214,1.656,153.935,1,6
19991231,34,0.42,0.42,0.713,0.297,1.824,0.502,0.162,0.716,0.591,0.486,1.444,10.437,1.429,1.429,0,2,6
19970630,50,0.585,1.569,0,0.479,8.198,0.204,0.075,1.22,0.873,0.817,7.589,18.257,1.243,1.351,508.526,0,5
19950630,19,0.099,0.215,0.307,0.109,0.373,0.091,0.319,0.109,0.545,0.262,1.197,38.807,1.258,1.596,146.422,0,4
20070331,89,0.392,0.426,0.408,0.26,2.069,0.379,0.134,0.386,0.629,0.445,1.698,5.38,1.048,1.118,11.718,2,5
20000331,105,0.001,0.15,0.224,0.08,0.235,0.001,0.45,0.001,0.465,0.255,0.87,67.098,1.185,1.475,35.253,0,4
20100331,0,0.346,0.501,0.292,0.321,1.728,0.382,0.246,0.531,0.581,0.455,1.39,14.121,1.296,1.554,135.035,0,4
20060731,148,0.127,0.146,0.317,0.028,0.143,0.029,0.255,0.148,0.834,0.734,5.042,171.036,1.047,1.085,0,1,6
20000331,42,0.172,0.549,0.463,0.176,0.756,0.075,0.187,0.206,0.734,0.583,2.782,16.973,0.678,0.927,0.767,1,6
20120331,96,0.385,0.505,0.51,0.385,1.745,0.553,0.336,0.611,0.531,0.505,1.131,3.939,1.32,1.428,13.128,4,3
20071231,17,0.453,0.499,0.222,0.139,1.169,0.149,0.192,0.731,0.847,0.607,5.551,9.702,0.562,0.865,54.386,1,5
20010630,31,0.911,0.939,0.078,0.758,-7.453,0.793,-0.094,10.267,0.928,0.915,12.949,-2.591,2.401,4.332,232.015,4,7
19961231,33,0.344,0.44,0.768,0.305,2.707,0.437,0.159,0.649,0.546,0.538,1.726,1.041,0.763,0.845,25.778,1,8
19980331,132,0.19,0.193,0.281,0.163,0.635,0.505,0.455,0.23,0.317,0.238,0.464,37.423,4.686,5.626,147.299,2,6
19960630,154,0.428,0.481,0.503,0.374,3.651,0.599,0.01,1.401,0.556,0.501,1.25,2.128,1.483,2.545,174.535,2,7
19961231,141,0.422,0.443,0.485,0.234,1.867,0.321,0.056,0.729,0.694,0.579,2.27,4.207,1.01,1.661,56.208,2,4
20050331,0,0.258,0.376,0.312,0.244,1.154,0.323,0.354,0.348,0.519,0.375,1.079,21.705,1.093,1.436,114.857,0,4
20050331,147,0.568,0.605,0.639,0.409,2.848,0.543,0.151,1.09,0.708,0.613,2.534,3.672,0.864,0.89,28.59,2,5
20020930,167,0.188,0.189,0.51,0.156,4.129,0.475,0,0.219,0.328,0.215,0.507,2.594,0.656,0.794,18.313,2,1
20060331,89,0.425,0.442,0.375,0.274,2.358,0.41,0.127,0.43,0.643,0.466,1.804,4.56,1.264,1.336,7.906,2,5
20000331,85,0.181,0.301,0.327,0.163,1.26,0.176,0.092,0.197,0.556,0.353,1.253,13.351,1.045,1.368,77.493,1,6
20000331,44,0.104,0.217,0.593,0.112,0.602,0.099,0.194,0.11,0.539,0.362,1.187,19.907,0.611,0.836,2.406,0,3
20050930,26,0.673,1.016,0.633,0.547,4.383,0.44,-0.112,2.061,0.824,0.782,4.689,4.289,0.938,1.247,158.579,1,5
