Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number,Sector Number
20071231,92,-0.01092061,-0.011280926,-0.466570709,-0.092317456,0.017020409,0.945197997,-0.16953986,-0.091886537,-0.770984312,-0.048263254,-0.014668442,-0.084440275,2.032573499,2.248229245,0.334793672,3,3
20020930,31,-0.00890651,-0.009161141,-1.447149934,2.143459249,-0.524568808,1.710425598,-2.330258086,0.384831614,1.13495043,0.158543726,-0.001969352,-0.166910589,-0.518499232,0.621723194,0.776201067,4,7
20101231,17,-0.008706563,-0.009006573,-1.259163243,-0.687680092,-0.023786744,-1.104327676,-0.964211304,0.573178691,1.94108597,0.207233719,0.067118718,-0.088003506,-0.854230031,-0.462278049,0.277359727,1,5
20040331,3,-0.010467072,-0.010697985,-1.015288617,-0.085983811,-0.034208901,-0.066186735,-0.379700903,-0.061690613,0.340331112,0.010465913,-0.010482047,-0.02680549,0.317819423,0.161904992,0.655361233,1,4
20040331,40,-0.010554854,-0.010923213,1.469184135,-0.611676351,-0.018031224,-0.681579561,-0.622699609,-0.069239594,0.691575883,0.114371362,-0.00724629,0.024189612,-0.38974226,-0.690170403,-0.433845468,1,1
20060630,39,-0.010876719,-0.011060115,0.336183269,-0.364664194,-0.047690299,-0.296290139,-0.248350251,-0.105285979,0.04090934,0.005446326,-0.011511606,-0.07857944,-0.010691358,0.123586809,-0.000871314,1,7
19951231,90,-0.009847724,-0.010194536,1.657170826,0.541047049,-0.028557085,0.581313543,-0.005351544,0.01266685,0.610962329,0.087265592,-0.006844511,-0.11949819,-0.337998803,-0.68613691,-0.422846543,1,8
20060630,144,-0.01072554,-0.011126359,-0.547862251,-0.421666999,-0.020675652,-0.183914058,0.401835477,-0.12076139,0.138797227,-0.021659443,-0.01158694,-0.118446745,-0.504059198,-0.773865383,-0.433845468,3,3
20081231,144,-0.010418304,-0.010848137,0.884901177,0.211697506,0.004679745,0.832821916,-0.038189207,-0.099058069,-0.103043436,0.007454161,-0.012566276,-0.12022836,-0.696592989,-0.911004145,-0.433845468,3,3
20010131,68,-0.009062567,-0.009492358,-1.330293343,1.14274333,-0.002112805,0.87028061,-0.268052849,0.254611692,1.204047762,0.162057437,-0.000555951,-0.117521862,-1.116557321,-0.640760114,-0.348573584,2,2
20020131,80,-0.011657,-0.011969856,-1.975544957,-0.934692249,-0.086993758,-0.226723994,0.710509509,-0.164734204,-1.174052082,-0.090929742,-0.01552581,-0.066137336,-0.599122757,1.109775846,0.263168806,3,1
20010630,132,-0.012598214,-0.012817771,-0.319229789,-1.815068912,-0.126660177,-2.003336326,4.657596604,-0.209273192,-2.383255392,-0.205376323,-0.01715445,1.397659631,1.577712418,1.405229208,0.280546228,2,6
20010731,37,-0.009935506,-0.007531556,-1.975544957,1.573431194,0.325018489,-0.392612494,-0.819725587,0.017573687,1.014030099,0.149006511,-0.003978248,-0.137577209,-1.406561344,-1.617873793,1.282157097,1,5
20041231,165,-0.011330258,-0.01167397,0.996677047,-0.732015607,-0.067342028,-0.226723994,0.034053651,-0.150957314,-0.627031537,-0.078380775,-0.014327647,-0.101905951,0.603010101,0.320219592,-0.433845468,2,5
20021031,57,-0.011910592,-0.012014019,-0.298906903,-1.131035246,-0.028453382,-1.104327676,-0.22208012,-0.17832237,-0.770984312,-0.088419949,-0.014686379,-0.154069325,0.091592218,-0.121447891,-0.099691323,1,6
20130630,47,-0.008765084,-0.007425567,-1.975544957,1.655768579,0.256937432,0.056891831,-0.918238576,0.481458571,1.630147976,0.204723926,0.016566297,-0.131190652,-1.406561344,-1.617873793,0.540811992,2,1
20121231,143,-0.012456788,-0.012314322,-1.071176552,-1.308377307,-0.107164002,-1.671559324,2.884362801,-0.20417763,-1.767137515,-0.160200041,-0.016454924,0.329245075,1.306961774,1.043223212,0.122720999,2,6
20140630,42,-0.004878311,-0.005650247,-0.629153793,-0.466002515,0.102471728,-0.617364657,-2.967308748,0.00266445,1.065853098,0.07672446,-0.002658116,-0.160377998,0.743800435,0.665083244,0.210272879,4,6
20050930,118,-0.012052017,-0.012173003,-0.146485262,-1.08669973,-0.064749452,-0.424719946,0.644834183,-0.185682627,-1.85350918,-0.144137363,-0.016562543,-0.030826295,0.402052956,0.461391847,0.337507692,2,4
19990930,25,-0.011237599,-0.011514986,-0.344633396,-0.789018413,-0.085075251,-0.660174593,-0.786887924,-0.136048076,-0.108801547,0.035061889,-0.012677483,-0.05381206,-0.530532594,0.136695661,-0.258148359,1,4
20040630,165,-0.011276613,-0.011625391,1.128775803,-0.681346447,-0.067601286,-0.16250909,0.224512097,-0.147560272,-0.598240982,-0.074867064,-0.014255901,-0.101545733,0.42611968,0.178038964,-0.433845468,2,5
20110331,151,-0.010847459,-0.010781894,1.230390231,0.161028346,-0.053912482,0.276292751,0.30989002,-0.105474703,-0.316093543,-0.004090889,-0.013226342,-0.01466519,-0.315135416,-0.612525663,-0.26170845,2,4
19990630,163,-0.008599275,-0.009196471,-0.131243098,2.472808792,3.929788615,2.218793585,-1.476478848,2.172052872,1.336484315,0.186653413,0.002938093,-0.163921758,-0.232105218,-0.57118236,-0.433845468,4,8
20061231,147,-0.009994027,-0.010207785,0.991596326,0.724722756,-0.000712814,0.800714464,-0.077594403,-0.02319081,0.369121667,0.063171575,-0.009961887,-0.118203354,-0.271815313,-0.635718248,-0.285590731,2,5
19990131,148,-0.011725275,-0.012031684,0.011017101,-1.365380113,-0.11488988,-1.44145592,2.253879671,-0.167942521,0.236685114,0.045101063,-0.01105243,0.612044944,0.569316687,0.112494703,-0.433845468,2,6
20000430,127,-0.011505821,-0.010706818,-1.746912495,-0.244324938,0.013909317,-0.986600353,-0.747482729,-0.154731804,-0.143350213,0.000426739,-0.012799452,-0.137032016,-0.905973487,-0.362449097,-0.064678263,3,1
19960331,35,-0.010930364,-0.011135191,0.666430158,-0.130319327,0.005976033,0.345858897,0.165404303,-0.079241994,-0.465804429,-0.002585013,-0.012598562,-0.079163576,0.054288796,0.051992308,0.411868554,1,6
19991231,34,-0.01055973,-0.010976207,1.647009384,0.047022735,-0.032653356,0.645528447,-0.19580999,-0.074523881,-0.172140768,0.009963954,-0.012914246,-0.05245881,0.313006078,-0.17690842,-0.433845468,2,6
19970630,50,-0.009755066,-0.005901972,-1.975544957,1.199746135,0.297848288,-0.949141659,-0.767185326,0.02059328,1.451646535,0.17611228,0.009129796,0.023673625,0.089185546,-0.255561533,2.359980295,0,5
19950630,19,-0.012125169,-0.011881532,-0.415763495,-1.143702536,-0.107889924,-1.553832001,0.835292629,-0.189079668,-0.437013874,-0.102474792,-0.013800312,0.223740318,0.107235589,-0.008510087,0.37059237,0,4
20070331,89,-0.01069628,-0.01094971,0.097389364,-0.187322132,-0.019949731,-0.012674315,-0.379700903,-0.136802975,0.046667451,-0.010616352,-0.012003068,-0.101691767,-0.145465012,-0.4905125,-0.369467146,2,5
20000331,105,-0.012603091,-0.012168586,-0.837463369,-1.327378242,-0.115045435,-2.035443778,1.6956394,-0.209461917,-0.897662754,-0.105988503,-0.014973364,0.499170334,0.019392046,-0.13052325,-0.2401666,0,4
20100331,0,-0.01092061,-0.010618493,-0.491974316,0.199030216,-0.037631102,0.003379411,0.355862749,-0.109437918,-0.229721878,-0.005596765,-0.013107961,-0.01659284,0.152962364,-0.050861763,0.308032552,0,4
20060731,148,-0.01198862,-0.012186251,-0.364956281,-1.656727785,-0.119815775,-1.885609003,0.414970542,-0.181719412,1.227080206,0.134449709,-7.0917E-06,1.5110697,-0.146668348,-0.523788817,-0.433845468,1,6
20000331,42,-0.011769166,-0.010406515,0.37682904,-0.719348317,-0.088030788,-1.639451873,-0.031621675,-0.170773389,0.651269106,0.058653947,-0.00811442,0.011173107,-0.590699404,-0.683111791,-0.429631594,1,6
20120331,96,-0.010730417,-0.010600829,0.615622944,0.6043835,-0.036749626,0.918441787,0.946940683,-0.094339956,-0.517627428,0.019501169,-0.014037075,-0.115720775,0.181842433,-0.177916793,-0.361720651,4,3
20071231,17,-0.010398797,-0.010627326,-0.847624812,-0.953693184,-0.066616107,-1.243459967,0.001215988,-0.071693013,1.301935649,0.070700956,0.001818851,-0.05961448,-0.730286403,-0.745630932,-0.135050504,1,5
20010630,31,-0.008165244,-0.00868419,-1.57924869,2.966833106,-0.513679987,2.202739859,-1.877098336,1.727984063,1.76834264,0.225304232,0.028357796,-0.179294279,1.482648859,2.750399123,0.840837605,4,7
19961231,33,-0.010930364,-0.010887883,1.926449059,0.097691895,0.013131544,0.297697719,-0.215512588,-0.087168424,-0.431255763,0.036065806,-0.011902623,-0.14393456,-0.488415828,-0.765798397,-0.292221951,1,8
19980331,132,-0.011681384,-0.011978689,-0.547862251,-0.801685703,-0.094304823,0.661582173,1.728477063,-0.166244001,-1.749863182,-0.114521801,-0.016429813,0.21026624,4.232272062,4.055234107,0.37541058,2,6
19960630,154,-0.010520716,-0.010706818,0.580057895,0.534713404,0.062079387,1.164598918,-1.194074946,0.054752419,-0.373674653,0.017493335,-0.013610184,-0.133351957,0.377986232,0.948436127,0.525044303,2,7
19961231,141,-0.010549977,-0.010874634,0.48860491,-0.351996904,-0.03042374,-0.323046349,-0.891968446,-0.072070462,0.420944666,0.056646112,-0.009951125,-0.113111633,-0.191191788,0.057034174,-0.125040493,2,4
20050331,0,-0.011349765,-0.011170521,-0.390359888,-0.288660453,-0.06739388,-0.312343865,1.06515627,-0.143974506,-0.58672476,-0.04575346,-0.014223615,0.057241993,-0.091314883,-0.169849807,0.197175258,0,4
20050331,147,-0.009837971,-0.010159207,1.271036002,0.756390981,0.02044261,0.864929368,-0.268052849,-0.003940908,0.50155822,0.073712708,-0.009004074,-0.118320182,-0.366878872,-0.720421601,-0.276772912,2,5
20020930,167,-0.011691138,-0.011996354,0.615622944,-0.846021218,0.086864418,0.501044914,-1.259750272,-0.16831997,-1.686523961,-0.126066851,-0.016275558,-0.128815164,-0.6171728,-0.817225433,-0.333234425,2,1
20060331,89,-0.010535347,-0.01087905,-0.070274441,-0.098651101,-0.004964639,0.153214186,-0.425673631,-0.128499095,0.127281005,-7.52195E-05,-0.011622813,-0.109674964,0.114455606,-0.270687132,-0.390410154,2,5
20000331,85,-0.011725275,-0.011501737,-0.314149067,-0.801685703,-0.061897618,-1.098976434,-0.655537272,-0.17247191,-0.373674653,-0.056796551,-0.013599423,-0.024089256,-0.149075021,-0.238419188,-0.008101376,1,6
20000331,44,-0.012100785,-0.0118727,1.037322818,-1.124701601,-0.096015924,-1.511022065,0.014351053,-0.188890944,-0.47156254,-0.052278923,-0.013836185,0.039737374,-0.671322929,-0.774873756,-0.42062698,0,3
